Status	E001	E002	E003	E004	E005	E006	E007	E008	E009	E010	E011	E012	E013	E014	E015	E016	E017	E018	E019	E020	E021	E022	E023	E024	E025	E026	E027	E028	E029	E030	E031	E032	E033	E034	E035	E036	E037	E038	E039	E040	E041	E042	E043	E044	E045	E046	E047	E048	E049	E050	E051	E052	E053	E054	E055	E056	E057	E058	E059	E061	E062	E063	E065	E066	E067	E068	E069	E070	E071	E072	E073	E074	E075	E076	E077	E078	E079	E080	E081	E082	E083	E084	E085	E086	E087	E088	E089	E090	E091	E092	E093	E094	E095	E096	E097	E098	E099	E100	E101	E102	E103	E104	E105	E106	E107	E108	E109	E110	E111	E112	E113	E114	E115	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128	E129
10_TxEnh5'	6	6	10	6	29	22	16	7	11	13	12	14	25	5	14	8	34	11	13	18	7	15	55	13	51	47	36	30	57	64	68	115	33	89	33	39	76	70	70	72	101	69	109	68	51	58	59	69	45	81	51	44	26	24	54	45	22	34	25	33	46	35	16	47	29	32	23	25	32	27	36	33	29	43	37	43	25	31	22	26	24	29	38	20	23	33	30	28	31	38	77	23	23	38	23	22	19	22	42	43	29	28	32	28	32	45	28	40	28	18	40	32	40	29	32	21	12	28	40	24	32	55	38	27	26	24	52
11_TxEnh3'	9	11	7	10	19	28	16	9	3	8	12	17	11	11	6	9	14	16	9	12	4	14	25	9	25	14	29	16	54	58	114	69	74	33	45	36	51	51	54	53	17	68	34	48	65	77	68	63	21	37	18	9	23	23	50	65	33	17	61	36	57	35	8	31	24	32	34	31	24	27	39	31	31	27	37	28	27	40	29	13	25	47	35	27	18	26	42	40	55	41	62	26	5	26	18	23	47	10	33	27	34	11	14	35	27	18	41	47	25	97	48	16	50	144	24	37	23	13	12	16	40	36	19	19	14	35	19
12_TxEnhW	23	25	12	20	20	29	18	18	25	20	42	19	34	24	18	21	22	21	11	13	15	18	20	11	32	28	48	39	38	44	92	88	115	43	115	58	55	79	73	69	62	73	55	71	101	67	50	69	27	57	48	24	18	20	36	45	43	37	37	24	77	46	25	46	37	43	45	26	38	36	43	41	34	37	61	50	30	23	23	24	24	23	20	37	34	39	19	20	27	24	71	18	21	42	23	23	30	36	38	34	43	17	36	65	35	41	51	51	46	70	58	21	43	76	33	17	25	15	22	15	25	64	26	24	29	28	32
13_EnhA1	11	7	9	14	25	27	12	6	13	17	7	16	16	18	9	14	57	8	11	7	8	7	62	7	70	59	26	21	65	120	103	238	31	87	29	69	82	45	94	63	149	80	45	148	45	122	49	65	57	43	138	58	11	12	46	33	26	31	6	15	20	61	8	53	16	19	16	10	34	22	25	19	33	25	44	33	16	39	21	13	24	45	34	8	4	24	23	29	42	49	83	11	29	27	3	14	7	9	47	43	35	11	13	48	32	41	32	46	36	40	30	46	103	201	55	49	30	28	28	37	56	234	38	27	54	37	69
14_EnhA2	30	2	4	3	34	31	16	1	19	22	23	21	25	14	36	11	19	13	22	11	3	15	54	8	54	22	19	41	103	116	177	106	97	93	72	90	194	161	153	213	154	153	179	94	145	51	138	175	22	172	76	40	20	24	44	42	31	46	23	19	80	59	8	35	34	28	30	16	40	25	27	28	66	67	74	60	25	31	18	16	37	19	20	25	15	47	27	20	25	16	75	12	14	16	10	17	40	21	75	62	40	8	16	33	45	43	21	61	38	56	42	21	76	111	31	33	44	25	46	21	42	96	34	25	48	11	32
15_EnhAF	19	21	19	14	43	60	38	22	20	19	27	16	27	9	14	24	69	17	11	13	16	26	47	15	28	27	52	91	173	143	102	106	230	184	107	101	151	156	141	138	94	159	208	101	142	220	195	147	42	140	82	26	40	22	37	41	42	50	27	39	177	51	40	88	38	48	42	41	34	42	42	33	71	34	53	61	65	67	39	29	44	71	82	58	33	57	78	80	103	42	238	68	56	94	66	61	52	53	57	90	35	67	80	128	40	72	118	62	47	142	48	44	123	170	36	51	70	71	56	49	112	82	57	64	52	67	35
16_EnhW1	41	17	23	26	17	15	18	22	20	11	28	26	22	37	31	25	9	43	38	43	20	19	22	24	26	26	24	30	18	49	28	18	31	18	67	44	25	34	39	27	39	28	33	30	33	24	29	43	24	33	39	27	6	9	26	24	26	21	19	16	28	20	17	25	23	29	20	2	22	17	29	33	8	31	33	66	28	7	12	8	14	15	15	17	10	11	1	6	11	11	22	8	16	23	16	12	16	18	42	35	16	7	10	31	18	32	20	23	12	24	56	16	14	56	28	23	19	21	24	8	24	23	21	20	21	18	25
17_EnhW2	93	173	76	111	67	82	120	142	73	36	99	96	64	80	71	68	42	124	61	70	84	98	101	84	61	73	92	101	114	307	298	213	448	172	323	225	159	198	176	173	140	160	93	285	246	239	180	198	63	194	113	68	36	60	65	65	113	50	101	76	297	55	45	120	75	84	63	58	74	90	89	70	69	55	71	136	67	74	78	36	58	56	53	94	62	30	36	39	101	98	191	72	60	109	40	34	97	45	143	122	101	37	50	174	71	71	159	112	77	323	242	52	204	268	72	34	65	47	82	30	169	129	54	73	42	91	62
18_EnhAc	11	8	9	8	84	27	23	7	16	37	11	16	41	1	10	6	27	6	8	3	1	23	16	9	19	7	42	22	143	22	172	94	15	130	35	29	30	34	5	28	34	34	48	2	6	38	45	25	17	72	82	21	33	28	21	17	12	32	6	33	34	76	46	32	10	7	16	32	8	10	14	17	43	35	83	19	62	67	55	37	62	40	46	38	62	65	61	31	55	19	76	67	34	62	51	97	73	64	35	18	29	32	70	24	57	31	58	97	35	20	19	51	119	53	43	85	14	29	15	37	92	56	19	12	28	15	19
19_DNase	67	63	47	41	57	42	52	36	65	62	82	54	44	54	55	56	51	51	72	46	53	48	61	50	77	47	64	59	24	12	23	18	9	21	14	27	34	30	23	30	32	34	42	17	32	16	27	35	50	24	20	46	28	31	41	42	37	57	42	59	33	54	56	62	32	50	51	20	43	47	33	55	30	59	31	45	41	26	37	44	64	18	33	46	56	52	22	28	21	43	32	54	66	51	49	43	48	67	34	22	41	55	45	43	19	46	29	14	41	18	59	83	29	36	42	65	43	46	46	73	37	42	49	27	66	28	33
