Status	E001	E002	E003	E004	E005	E006	E007	E008	E009	E010	E011	E012	E013	E014	E015	E016	E017	E018	E019	E020	E021	E022	E023	E024	E025	E026	E027	E028	E029	E030	E031	E032	E033	E034	E035	E036	E037	E038	E039	E040	E041	E042	E043	E044	E045	E046	E047	E048	E049	E050	E051	E052	E053	E054	E055	E056	E057	E058	E059	E061	E062	E063	E065	E066	E067	E068	E069	E070	E071	E072	E073	E074	E075	E076	E077	E078	E079	E080	E081	E082	E083	E084	E085	E086	E087	E088	E089	E090	E091	E092	E093	E094	E095	E096	E097	E098	E099	E100	E101	E102	E103	E104	E105	E106	E107	E108	E109	E110	E111	E112	E113	E114	E115	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128	E129
10_TxEnh5'	-1.3632	-0.4785	-0.9072	-0.809	-0.8298	-1.0688	-0.598	-0.8091	-0.8251	-0.8884	-1.3335	-0.9377	-1.0463	-1.3163	-1.0659	-1.1883	-1.04	-1.0381	-1.2792	-0.9839	-0.618	-0.8209	-1.2216	-0.8239	-1.3972	-1.0611	-1.554	-1.4727	-1.6506	-1.5878	-1.3696	-0.9338	-1.3151	-1.2845	-1.3154	-2.0535	-1.4178	-1.3321	-1.3877	-1.4805	-1.7063	-1.3303	-1.3738	-1.3697	-1.1728	-1.3589	-1.5338	-1.1965	-1.1066	-1.5702	-1.7085	-1	-1.2425	-0.9638	-1.2633	-1.2127	-1.3477	-1.4774	-1.027	-1.1594	-1.1669	-1.6384	-0.9069	-1.6231	-1.1674	-1.5869	-1.4552	-0.9436	-1.6075	-1.5674	-1.2833	-1.3201	-1.2062	-1.392	-1.4985	-1.6104	-1.1378	-1.2684	-0.8895	-0.756	-1.5415	-1.0091	-1.1189	-0.7571	-1.2114	-1.3198	-0.9395	-1.2926	-1.0222	-0.8321	-0.9377	-1.0574	-1.3837	-1.2778	-1.0631	-1.3756	-0.9152	-1.048	-1.3756	-1.205	-1.1339	-1.2217	-1.374	-1.5436	-1.3599	-1.5671	-1.3167	-1.3619	-1.3403	-1.3043	-1.408	-1.407	-1.3657	-1.583	-1.0794	-1.3459	-1.4065	-0.9502	-0.9813	-1.2696	-1.1895	-1.6674	-1.0311	-0.868	-1.5326	-0.9622	-0.9758
11_TxEnh3'	-0.7056	-0.7661	-0.6989	-0.864	-0.7321	-0.7049	-0.6463	-0.7672	-0.7794	-0.5842	-0.812	-0.7636	-0.6798	-0.6243	-0.6819	-0.6982	-0.6807	-0.6277	-0.761	-0.5451	-0.7634	-0.7365	-0.8485	-0.5514	-0.6707	-0.7471	-0.6602	-0.8364	-0.3487	-0.4151	0.8405	-0.005	0.0545	-0.5887	-0.5905	-0.6799	-0.3445	-0.2286	-0.2183	-0.3345	-0.8083	-0.0975	-0.5195	-0.317	-0.1678	0.1594	-0.0314	-0.0672	-0.6058	-0.6939	-0.8437	-0.8151	-0.7226	-0.5227	-0.5053	-0.496	-0.674	-0.747	-0.6032	-0.6361	-0.0344	-0.6523	-0.7347	-0.8037	-0.9911	-0.9757	-0.8023	-0.8147	-0.758	-1.0436	-0.8286	-1.0334	-0.7074	-0.7064	-0.563	-0.8402	-0.691	-0.7368	-0.4745	-0.5906	-0.7818	-0.5235	-0.4967	-0.5772	-0.7816	-0.6544	-0.6918	-0.6626	-0.55	-0.5967	-0.3045	-0.6921	-0.8763	-0.9261	-0.7978	-0.72	-0.4026	-0.7459	-0.6699	-0.7481	-0.7702	-0.8327	-0.8067	-0.6272	-0.7978	-0.9186	-0.7578	-0.5224	-0.9043	0.3517	-0.6808	-0.6821	-0.1618	1.0819	-0.6322	-0.6963	-0.7712	-0.7878	-0.8772	-0.753	-0.4845	-0.613	-0.7396	-0.7396	-0.8605	-0.5991	-0.6826
12_TxEnhW	-2.0298	-1.9064	-1.9573	-1.7618	-1.6226	-1.664	-1.7022	-2.222	-1.7988	-1.4635	-2.0384	-1.8126	-1.5146	-1.9432	-1.7997	-1.9697	-1.23	-2.1241	-2.1542	-1.9835	-1.9471	-1.8574	-1.8435	-1.8568	-1.6343	-1.4838	-1.9851	-1.9743	-1.7771	-2.2117	-2.2403	-1.6426	-2.1773	-2.4838	-1.7352	-2.453	-2.214	-2.2488	-1.9728	-2.3194	-2.2709	-1.9743	-2.0632	-2.2943	-2.0337	-2.055	-2.4282	-2.3392	-1.4341	-2.1718	-1.9651	-1.3451	-1.602	-1.4492	-1.7089	-1.7674	-1.9441	-1.5969	-1.9308	-1.536	-2.3646	-1.9442	-2.0291	-1.9284	-1.7281	-2.1068	-1.8575	-1.8721	-1.665	-2.0038	-1.8831	-1.907	-1.9469	-1.7908	-1.9229	-1.9954	-2.1967	-1.446	-1.6406	-1.3449	-1.8782	-1.5437	-1.5862	-1.5662	-2.2146	-1.6418	-1.2813	-1.6386	-1.5034	-1.5641	-1.9162	-2.3935	-2.0168	-2.3888	-2.0337	-1.9218	-1.4974	-1.8214	-2.0683	-2.0012	-1.8827	-2.2318	-2.1283	-2.5928	-1.7052	-1.7575	-2.1924	-2.0069	-1.7816	-2.158	-2.4332	-1.6073	-1.9198	-2.2749	-1.4774	-1.8325	-1.6768	-1.4167	-1.5335	-1.4926	-1.7719	-2.454	-1.3836	-1.3646	-1.7849	-1.7114	-1.4021
13_EnhA1	-1.4251	-0.5843	-0.9834	-0.8566	-0.6709	-0.8183	-0.326	-0.8689	-0.8031	-0.8944	-1.2114	-0.8067	-1.1028	-1.4836	-1.2168	-1.3656	-0.8439	-1.2916	-1.2785	-1.2575	-0.5479	-0.6293	-1.4022	-0.8173	-1.5698	-1.5257	-0.8561	-1.4886	-0.9055	-0.287	0.6341	2.7004	-0.4418	-0.3245	-0.3513	-0.4273	-0.1231	-0.7413	-0.136	-0.2743	0.0493	-0.1293	-0.5999	0.9398	-0.4201	0.2049	-0.5974	-0.1359	-1.3141	-0.9892	-0.7288	-1.1575	-1.0819	-0.858	-1.0086	-0.8726	-1.1183	-1.2442	-0.7196	-0.7122	-0.1121	-0.9016	-0.8338	-1.1553	-1.1963	-1.3401	-1.3249	-0.9541	-1.2658	-1.4401	-0.9227	-1.3082	-0.8216	-0.8891	-0.834	-0.9472	-0.7962	-0.893	-0.8949	-0.7756	-1.188	-1.0341	-1.1172	-0.4895	-0.7602	-0.9345	-0.9156	-1.1647	-0.6355	-0.7549	-0.1886	-0.6165	-0.8746	-0.6375	-0.943	-0.6878	-0.5767	-0.771	-1.1676	-1.07	-0.8988	-1.132	-0.9311	-0.5405	-1.1014	-1.2874	-0.7902	-0.6289	-1.0653	-0.2563	-0.5749	-1.522	-0.2244	1.2998	-1.3414	-1.0695	-1.4773	-1.3974	-1.6335	-1.5562	-0.6717	0.0084	-1.2914	-1.0477	-1.6052	-1.0691	-1.1425
14_EnhA2	-2.1362	-0.887	-1.2598	-1.4988	-1.2403	-1.3565	-1.0053	-1.441	-1.4459	-1.5798	-1.8337	-1.7674	-1.2634	-2.1525	-2.035	-2.1677	-1.543	-2.0533	-2.6804	-2.4156	-1.1893	-1.1687	-2.5947	-1.4989	-2.5868	-1.8956	-1.8676	-2.4258	-2.1101	-1.7084	-0.36	-1.5127	-0.6236	-1.3433	-1.2034	-1.9369	-0.4465	-0.7721	-0.7566	-0.2535	-1.0122	-0.8725	-0.7012	-1.0362	-0.2471	-1.731	-0.9117	-0.5683	-1.8938	-1.8196	-2.4365	-2.0087	-1.7126	-1.3656	-1.8714	-1.8049	-2.23	-1.9461	-1.3694	-1.4679	-0.7732	-1.9077	-0.9772	-2.0534	-1.5077	-1.9286	-1.8146	-1.3809	-1.7726	-1.8431	-1.7063	-1.7987	-1.2657	-1.6848	-1.8203	-1.9524	-1.1866	-1.354	-1.65	-1.2303	-2.1224	-1.4681	-1.4358	-1.0389	-1.2348	-2.0759	-1.4837	-1.7097	-1.4425	-1.232	-1.4669	-0.9601	-1.1072	-1.3903	-1.587	-1.3049	-1.0864	-1.1321	-1.6002	-1.7696	-1.5084	-1.334	-1.3213	-1.5476	-1.9005	-1.8457	-1.6583	-1.7941	-1.8288	-1.148	-1.251	-2.1211	-1.4205	-1.2562	-1.9208	-1.9617	-2.2114	-1.7192	-2.2085	-1.8862	-1.6693	-2.4407	-2.0311	-1.7231	-2.5655	-1.5891	-1.9358
15_EnhAF	-2.3856	-2.1076	-2.1919	-2.2726	-1.8648	-1.7994	-1.6311	-2.251	-2.1547	-1.9772	-2.1415	-2.514	-1.6209	-2.256	-2.5071	-2.6412	-2.0434	-2.6001	-2.9378	-2.043	-2.1525	-1.9197	-2.6514	-2.1691	-2.8081	-2.4653	-2.0167	-2.5973	-2.6743	-1.2944	-1.6064	-1.7909	0.6809	-1.0362	-1.2212	-1.9389	-0.7155	-0.3876	-0.6437	-0.7329	-1.2299	-0.55	-0.461	-0.7341	-0.057	-0.8751	-0.484	-0.6346	-2.2985	-2.1068	-1.9597	-2.1986	-1.8075	-1.5269	-1.966	-2.0224	-2.4431	-2.3396	-1.8255	-1.4538	0.0552	-2.4302	-1.6995	-1.9903	-2.1809	-2.4755	-2.3513	-2.0161	-2.1349	-2.3602	-2.1962	-2.3809	-2.0482	-1.9718	-2.0598	-2.3234	-1.5859	-2.0175	-2.0346	-1.6407	-1.9422	-2.1448	-2.3032	-1.5689	-1.6953	-2.1401	-2.0984	-2.3263	-1.7219	-1.9477	-0.6647	-1.6642	-2.1046	-1.9307	-1.9528	-1.7199	-1.5072	-1.8636	-2.3452	-1.9512	-2.0744	-1.8998	-2.0609	-1.8628	-2.1677	-2.0551	-1.8426	-2.0531	-1.8629	-0.8823	-1.8271	-2.4463	-1.2547	-0.702	-1.9266	-1.9491	-2.6885	-2.3709	-2.5478	-2.6962	-1.2366	-1.6788	-2.3393	-2.2244	-2.542	-2.2398	-2.3682
16_EnhW1	-2.5882	-1.6812	-1.7937	-1.7346	-1.4531	-1.5098	-1.4562	-1.8684	-1.6132	-1.5089	-2.3911	-2.0167	-1.6646	-2.5401	-1.8922	-2.0843	-1.2995	-2.189	-2.219	-2.295	-1.5845	-1.6389	-2.3	-1.8986	-2.017	-1.8459	-1.7708	-2.0569	-1.7026	-1.8107	-2.4056	-1.7852	-2.5636	-2.012	-2.3008	-2.594	-2.0345	-2.1087	-1.6899	-1.9584	-1.8855	-1.8073	-1.7018	-1.978	-2.1527	-1.8209	-2.0421	-2.0181	-1.7462	-2.1746	-2.6549	-1.5515	-1.6743	-1.7944	-1.5016	-1.7132	-2.0796	-1.7049	-1.6287	-1.3837	-2.3538	-1.9878	-1.4801	-2.0024	-1.4239	-2.0477	-1.773	-2.0621	-1.8204	-2.0597	-1.6305	-1.9636	-1.7147	-1.8201	-2.0986	-1.8081	-1.7405	-1.4183	-1.4125	-1.4273	-1.8902	-1.264	-1.2772	-1.7132	-1.5247	-1.8669	-1.2882	-1.5556	-1.5435	-1.5432	-1.8309	-1.5614	-1.3837	-1.6924	-1.6449	-1.3535	-1.4419	-1.3086	-1.9658	-1.7439	-1.7847	-1.4746	-1.3574	-1.8132	-1.7743	-1.8273	-1.8374	-1.8515	-2.1849	-1.81	-1.9399	-1.6167	-1.4639	-2.1737	-1.3273	-1.4192	-2.0127	-1.4457	-1.909	-1.5363	-1.4565	-2.8461	-1.7041	-1.3782	-2.1591	-1.3317	-1.5775
17_EnhW2	-4.2277	-4.7774	-4.4634	-4.4087	-2.2888	-2.6044	-3.0648	-4.4116	-3.2837	-2.3624	-4.0113	-3.9965	-3.1027	-4.4923	-3.9151	-4.4962	-1.818	-4.8068	-4.7327	-4.3903	-4.0459	-3.3858	-3.1979	-3.7044	-2.7293	-2.8232	-2.2427	-3.2746	-2.4355	-2.9188	-2.8141	-1.4545	-1.9143	-1.8619	-3.5159	-3.309	-1.8922	-2.1565	-1.578	-1.959	-1.8835	-1.7897	-1.9784	-1.3807	-1.9018	-1.4827	-1.9226	-2.007	-2.4631	-1.8697	-3.4987	-2.1748	-1.9632	-2.171	-1.9559	-2.7727	-3.0953	-2.2184	-3.0655	-1.7617	-1.7895	-2.8422	-2.5185	-2.1648	-2.6919	-3.0137	-2.9923	-2.9843	-2.1037	-3.4567	-3.0108	-3.1098	-2.6355	-2.5902	-2.552	-2.8665	-2.7308	-2.1479	-2.4526	-2.0837	-2.7181	-2.1968	-2.1847	-2.5738	-2.1711	-2.0275	-2.291	-2.5493	-2.1652	-2.4951	-2.1643	-2.4487	-2.4625	-2.9508	-2.4291	-1.9356	-2.3134	-2.0442	-2.4724	-2.4069	-2.5449	-2.3894	-2.2751	-2.4403	-2.3675	-2.5958	-2.6534	-2.4752	-2.8808	-1.832	-2.0097	-2.3153	-1.6302	-2.1821	-1.8985	-1.9453	-3.1328	-2.6139	-2.9876	-2.1515	-1.4139	-2.9035	-2.598	-2.6025	-2.6205	-2.8208	-2.3859
18_EnhAc	-1.2294	-0.8895	-0.5823	-0.7232	-1.2828	-1.1006	-0.9447	-0.8447	-1.1539	-1.6482	-1.0363	-1.3501	-1.3888	-0.6966	-1.0272	-0.8769	-1.7071	-1.0086	-1.2913	-0.8442	-1.3405	-1.1649	-1.8133	-1.3182	-2.1249	-1.1656	-2.0375	-1.8267	-0.8191	-1.2523	1.9021	-1.5626	0.002	1.1847	-0.2808	-1.4203	-0.0998	-0.2302	-0.6749	-0.2665	0.1354	-0.1166	-0.4301	-0.5852	-0.1548	-1.1468	0.1808	0.1477	-1.1531	-1.6642	0.1092	-1.3872	-2.3523	-1.4085	-1.4057	-1.1975	-1.3188	-1.5333	-1.0069	-1.6227	-0.2771	-1.0577	-1.2148	-2.2721	-1.0547	-1.2618	-1.0694	-1.8778	-1.53	-0.9661	-1.0118	-0.8895	-1.288	-1.3446	-1.2572	-1.5099	-0.5989	-1.5369	-1.9726	-1.3957	-1.6328	-1.297	-1.5721	-1.4234	-1.8836	-2.1182	-1.4461	-1.82	-1.4708	-1.6358	-0.9836	-0.8544	-1.2738	-1.4189	-1.7729	-1.4325	-1.0096	-1.4756	-1.5914	-1.5097	-1.1607	-1.5703	-1.6587	-1.8338	-1.3962	-1.6482	-1.1529	-1.2398	-1.0868	-0.7819	-1.2441	-1.8967	-1.0353	-1.0181	-2.1409	-2.0534	-1.5397	-1.3453	-1.3701	-2.3221	-1.511	-0.4767	-1.477	-1.3211	-1.9874	-1.4274	-1.3537
19_DNase	-3.4144	-2.9415	-2.5305	-2.9301	-3.0565	-2.4211	-2.6742	-2.8094	-3.0509	-3.4781	-3.8317	-2.644	-3.1925	-2.6805	-2.8354	-3.0534	-2.9982	-2.5063	-2.8279	-2.5691	-2.9963	-2.9539	-2.5602	-2.8176	-2.8789	-2.4266	-3.458	-3.66	-2.7733	-2.631	-2.6184	-3.0645	-2.679	-2.8662	-2.7065	-3.039	-2.6888	-2.9681	-2.2657	-2.5392	-2.563	-2.564	-2.5276	-2.562	-2.235	-2.9526	-2.7436	-2.5526	-2.3621	-3.1563	-2.8988	-2.4162	-3.9153	-2.9498	-2.9843	-2.7744	-3.4743	-3.4493	-3.2628	-3.8081	-4.5702	-3.2619	-3.4324	-2.7512	-2.4266	-2.7869	-2.4495	-3.7027	-2.5641	-2.7634	-2.4688	-2.5978	-3.1678	-2.754	-2.5886	-3.3611	-3.2957	-2.5237	-2.8429	-3.5618	-3.3192	-1.9175	-2.3016	-3.0186	-3.0162	-2.7728	-2.1999	-2.7037	-2.3614	-2.6047	-2.5778	-3.4748	-2.6919	-3.0565	-3.4653	-3.2324	-3.2021	-3.6211	-3.0802	-2.4689	-2.5376	-3.1012	-3.522	-3.2127	-2.4263	-2.9316	-2.9116	-2.6971	-2.7294	-3.018	-3.1464	-3.1619	-3.1746	-2.9579	-2.8853	-3.756	-3.0592	-2.9641	-2.8747	-3.2126	-3.2116	-2.6837	-2.7817	-2.3107	-3.5654	-2.926	-2.3126
