Status	E001	E002	E003	E004	E005	E006	E007	E008	E009	E010	E011	E012	E013	E014	E015	E016	E017	E018	E019	E020	E021	E022	E023	E024	E025	E026	E027	E028	E029	E030	E031	E032	E033	E034	E035	E036	E037	E038	E039	E040	E041	E042	E043	E044	E045	E046	E047	E048	E049	E050	E051	E052	E053	E054	E055	E056	E057	E058	E059	E061	E062	E063	E065	E066	E067	E068	E069	E070	E071	E072	E073	E074	E075	E076	E077	E078	E079	E080	E081	E082	E083	E084	E085	E086	E087	E088	E089	E090	E091	E092	E093	E094	E095	E096	E097	E098	E099	E100	E101	E102	E103	E104	E105	E106	E107	E108	E109	E110	E111	E112	E113	E114	E115	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128	E129
10_TxEnh5'	-1.09	-0.5416	-0.84	-0.7204	1.2155	-0.3371	-0.1969	-0.759	-0.3359	0.0735	-0.0141	-0.3531	1.1413	-1.074	-1.0227	-1.0802	-0.2377	-0.9543	-1.0544	-1.0625	-0.6727	0.7622	-0.4212	-0.357	-1.0081	-0.7342	-1.1488	-1.1459	0.4395	0.8421	-0.0526	-0.0634	-0.8799	-0.9995	-1.4113	-0.9404	-0.6606	-0.7498	-1.0309	-1.2949	-1.6233	-0.5509	-0.6287	-0.8687	-0.5011	-0.2213	-0.9222	0.1395	-1.1342	-0.2011	-0.3695	-0.3805	0.0423	-0.2165	-0.3793	-0.1656	-0.4599	-1.5107	-1.1826	-0.2982	0.8746	-1.0671	-0.6054	0.7212	-1.014	-0.2417	-0.9116	-0.0832	0.087	-0.4522	-0.4881	0.2432	-0.4962	-0.2936	0.3211	-0.9432	-0.353	0.3813	-0.6436	0.3286	-0.8107	-0.0853	0.0613	-0.467	-1.2099	-0.7514	-0.7407	-1.0412	0.0102	-0.4054	1.7408	0.6907	-0.8042	1.5278	-0.7719	0.6166	-0.0791	-0.9108	0.039	-0.6658	-0.9719	-0.5717	0.256	-1.2072	-0.9189	0.203	-0.5541	-0.0251	0.0035	-0.9847	0.1348	-0.8539	0.2614	-1.5571	-0.9162	-1.3407	-1.2935	-0.7732	-0.4637	-1.0516	-1.0342	0.0918	-0.9981	-0.3189	-0.7437	0.1006	-1.291
11_TxEnh3'	0.962	0.7275	0.7737	-0.1172	1.9141	1.3442	2.6505	0.7902	-0.6828	0.1364	1.4778	2.4437	-0.8247	0.9275	0.0968	0.1703	0.2645	2.8513	-0.0219	0.8679	0.2055	1.5445	0.6597	0.981	0.2011	0.7371	3.8421	2.8833	1.8654	0.5228	2.2401	0.0309	0.011	0.1649	-0.0321	0.2164	0.0556	0.1551	-0.4906	0.0077	-0.4713	-0.1395	-0.4456	0.1556	-0.0978	1.9583	0.0632	0.1115	0.7347	0.6262	-0.3368	0.7165	3.5304	2.8135	1.6825	1.4194	3.888	3.3222	3.8853	4.0657	0.8278	1.0611	-0.1608	1.7696	1.7456	2.6193	1.9177	3.0497	1.3734	1.9582	1.3057	2.233	3.8925	1.7715	1.3582	4.1905	2.4213	1.5209	1.1839	0.8404	2.9449	2.6882	3.3415	3.0676	1.5673	3.2122	3.6758	3.2821	2.2996	3.2007	1.5696	4.1358	0.2676	1.6429	1.9504	2.5994	3.7194	0.9972	2.9868	2.4769	3.6988	0.9986	1.9598	5.7715	1.3251	1.1241	3.6969	4.4489	1.6143	2.8665	1.4213	1.4915	1.5315	3.2604	2.8349	5.519	2.415	0.7027	0.635	1.5727	2.8391	0.1832	1.1863	1.0267	2.1162	2.0704	1.5354
12_TxEnhW	-1.4147	-1.3668	-1.7768	-1.6735	-1.6725	-0.9757	-1.5306	-1.7514	-0.7691	-0.7086	-1.0955	-1.2395	-0.9635	-1.3972	-1.3697	-1.6604	-0.9423	-1.8249	-1.6847	-1.6403	-1.641	-1.6316	-1.4262	-1.7298	-1.3534	-1.2286	-1.9264	-1.2366	-1.8521	-2.0184	-1.7036	-1.8511	-1.1846	-1.5237	-0.7093	-1.0914	-2.0961	-1.9614	-1.9992	-1.9927	-1.7723	-2.1441	-1.0817	-1.7585	-1.3171	-1.112	-2.0404	-2.0802	-1.4437	-1.337	-1.7803	-1.152	-1.5172	-1.1283	-0.8717	-0.7888	-1.8603	-1.6114	-1.3066	-1.7233	-1.6971	-1.5005	-2.1692	-1.3154	-1.2137	-1.8868	-1.488	-1.6782	-1.5484	-1.6429	-1.5085	-2.1404	-1.9276	-1.6653	-1.612	-1.5247	-1.9079	-1.2199	-1.5276	-1.2101	-1.766	-1.237	-1.6075	-1.3724	-1.8153	-1.6177	-1.3633	-0.9817	-1.5899	-1.3209	-1.7591	-2.0083	-2.188	-2.4533	-1.5637	-1.5136	-1.3919	-2.1424	-2.1864	-2.0436	-1.8072	-2.1806	-2.0415	-2.6855	-1.7356	-1.5866	-2.0832	-2.1988	-1.7578	-1.7138	-1.3404	-1.6465	-2.0392	-1.4046	-1.4857	-1.6988	-1.3452	-1.4193	-1.634	-1.4847	-1.864	-1.9089	-1.236	-1.3955	-1.3163	-1.6247	-1.1918
13_EnhA1	-0.6644	1.1797	0.1478	2.1505	3.3739	2.6609	1.0595	0.6677	-0.2933	0.4449	0.1868	-0.2543	1.0153	-0.0857	0.9414	-0.2668	3.1809	0.0364	-0.0975	-0.0676	1.0664	0.0491	3.3316	0.5049	2.3933	1.1992	0.9234	1.3113	4.8063	9.3352	12.8031	9.3329	7.8053	5.829	6.2557	12.1775	7.4735	1.9897	6.9321	5.0606	7.6034	4.3555	1.8866	9.3031	2.9272	8.2038	2.6404	3.7504	2.4548	5.3667	8.9046	2.5064	0.5749	0.0286	2.5982	1.4869	1.2024	1.2465	0.0647	2.7041	6.3498	6.3018	0.9206	3.838	0.7476	1.593	0.2635	0.3759	1.3616	0.1777	2.3036	0.7629	3.3641	2.7974	5.1328	6.1844	0.3193	3.5062	1.848	0.5233	1.2704	2.6742	3.2612	0.1418	-0.7139	2.0504	0.9413	2.4319	4.24	3.9738	9.4164	0.0357	3.1416	4.2151	-0.2361	1.8282	0.6578	0.4181	4.8158	4.868	3.406	-0.0959	0.936	7.5639	2.3369	2.756	3.9124	7.6073	3.3803	7.5991	5.766	2.049	8.6783	15.0887	1.4299	5.6148	2.6837	0.3848	1.4752	2.0273	8.4863	10.7191	1.5264	1.6972	2.7306	2.9009	2.8996
14_EnhA2	1.8363	-0.7202	-0.4357	-1.13	0.5846	0.6843	0.7336	-1.1641	0.9459	-0.1587	-0.0508	-0.6441	1.298	-1.4123	0.3392	-1.0649	0.438	-0.6157	-0.7706	-1.6501	0.1509	1.2663	-0.5623	-0.5036	0.0721	0.2314	0.9408	-0.2213	3.4	3.2184	3.3964	5.4842	10.1706	3.5119	9.9471	3.5789	3.7849	6.3088	5.2588	6.957	2.5463	3.5276	6.4433	3.5668	6.9649	3.0677	6.2881	4.8565	-0.3654	5.6754	1.5184	-0.2463	1.3332	1.9246	0.7411	1.4059	0.2969	2.0312	2.2307	0.5396	8	2.7586	0.5555	1.3871	0.6376	0.9142	1.1102	1.7406	1.5675	0.0385	0.1797	-0.0917	5.8814	1.6401	4.557	3.4206	3.7106	1.8622	0.5524	0.8352	1.9472	1.0613	0.0939	3.8688	1.2159	2.0963	0.8102	0.2509	0.5649	0.9168	4.5757	0.1286	1.1222	1.4878	-0.1927	-0.053	2.2889	1.8011	4.6631	2.652	2.2743	0.6903	1.3224	4.1213	0.4548	0.5952	1.6318	3.2635	1.2631	6.3003	4.9028	-0.2517	-0.0201	3.5834	0.3057	0.1112	0.1352	-0.447	0.4357	-0.5536	2.2878	-0.4491	-0.0689	0.6362	0.7496	-0.8171	0.3854
15_EnhAF	-0.9477	-0.704	-1.2901	0.0531	0.4831	0.2869	1.5858	-1.2415	-0.571	-0.7221	-0.0414	-0.7865	-0.6653	-1.8195	-2.1235	-1.9559	-0.904	-0.9263	-2.2775	-1.4066	-0.8857	0.6419	-0.8205	-0.8774	-1.2535	-1.1984	1.1249	1.3124	-0.0741	1.3213	1.569	0.7347	3.3928	3.5187	2.4306	3.4923	2.3599	1.3194	0.7815	1.1476	0.5461	1.6535	1.6759	2.6348	2.0386	3.0703	2.1774	2.1444	-1.0473	0.3553	0.6643	-1.6517	-0.4298	-0.9396	-1.5816	-0.9347	-0.0725	-1.1366	0.1449	0.7098	6.3891	-1.1639	1.8563	2.2638	-0.49	-2.0159	-1.4799	0.0811	-1.3782	-0.1144	-1.619	-1.0962	1.195	-0.6655	0.6546	0.2103	2.7337	-1.0793	-0.5499	0.3691	-1.025	-0.4494	-0.6201	2.3353	2.6407	0.9678	-0.2181	-0.0386	0.8276	-0.3497	3.47	4.4235	0.9931	1.9632	3.0067	2.2027	0.9722	2.9288	1.7113	2.0131	-0.8564	3.8457	2.4286	3.1975	-0.9123	1.3399	5.1401	-0.0871	-0.6178	4.1824	2.4928	-0.6317	2.351	1.5246	-0.9717	0.3231	-0.6356	-0.1779	-1.1975	-0.7671	4.364	0.0837	-0.3381	-0.8859	-0.8689	0.1494	-1.9419
16_EnhW1	0.5916	0.9488	0.746	1.8859	-0.1295	-1.0901	-0.1796	0.2318	0.5171	-0.4321	0.5761	0.8585	0.7654	-0.5718	1.6394	0.5752	-0.5941	1.3788	0.4104	1.715	0.4096	-0.1668	-0.3988	1.8212	-0.5545	-0.6097	1.3739	0.9661	-0.6993	-1.1499	-1.2108	-0.8248	-0.6403	-0.7474	-0.9264	-1.6365	-0.0234	-0.2167	-0.7119	-0.8003	-0.7599	-0.2776	-1.1726	0.1113	-0.0097	-0.2809	0.0314	0.0295	-0.543	-1.2395	-1.5127	0.7845	-1.4239	-1.5225	0.7348	-0.3632	1.0172	0.6562	0.2367	0.4942	0.3878	-0.9031	0.9954	0.0168	0.7207	0.4055	-0.2833	-1.4869	-0.7367	-0.9793	0.4208	2.1169	-0.8913	-0.3369	1.2855	-0.4483	-0.4195	-0.8666	-0.9558	-1.2851	-0.57	-0.5112	-0.1186	-0.2552	-0.7166	-1.1009	-1.096	-1.1002	0.1885	-0.7454	-1.0479	-0.9307	-0.1591	-0.1092	0.4323	-0.3888	-0.3504	1.0806	1.4955	-0.5075	-0.8293	-1.0273	-0.4451	0.5008	-0.4017	0.1206	0.1345	0.4944	-1.3426	-1.1994	3.089	0.1134	0.3291	-0.2999	-0.1255	-0.2865	0.1851	0.7005	0.1251	-1.0667	-0.0303	-1.6171	-0.5236	0.0484	0.0218	-0.1341	0.2845
17_EnhW2	-0.3442	0.4697	-1.161	0.3474	-0.8767	-0.2235	-0.7963	1.6733	-0.3615	-0.0989	0.2578	-0.5107	-1.5931	0.5232	-1.9975	-1.054	-0.2795	-0.7444	-0.975	-1.8516	0.6355	-0.0252	-1.9027	0.3301	-1.5863	-2.4302	-0.6264	0.3009	0.237	0.789	0.4539	0.2524	2.1869	-0.617	0.3756	-1.3107	-0.9416	-0.0111	-0.3321	-0.9668	-1.6476	0.1184	-1.2078	-0.0303	-0.0329	-0.9397	0.5465	-1.017	-1.173	0.8653	-0.839	-0.677	0.1958	-0.5214	-0.2244	-1.451	-0.1855	-0.7463	-1.2454	1.0365	0.9153	-1.9645	-1.0066	1.2531	-1.7204	-1.3659	-2.0369	-0.5517	0.1965	-2.032	-1.5075	-2.0935	-1.3537	-0.7045	-0.9553	0.5348	-0.2506	-0.7206	0.3959	-1.0473	0.378	-1.7551	-1.596	-0.8056	0.9486	-0.9443	-1.4318	-1.5927	-0.7646	-0.4703	-1.0157	0.3733	-1.3121	0.7009	-0.5403	-0.4926	0.3823	-0.6488	-0.3675	1.0227	-0.0641	-1.382	-1.6349	2.6358	-1.4699	-1.0523	0.1472	-0.0522	-1.036	3.6403	2.4829	-1.3647	1.1236	-1.5059	1.5294	-0.9633	-0.5494	-0.677	-0.8132	0.7568	0.8439	0.4019	-1.4147	-0.8479	-1.1842	-1.2217	-0.7952
18_EnhAc	0.0871	-0.8307	0.1537	0.0935	0.4783	0.2444	0.2231	-0.7291	-0.3	-0.5766	-0.3365	-0.8751	-0.3297	-0.5713	0.1286	0.6742	-1.5566	-0.8216	-1.0647	-0.732	-1.0829	0.3948	-1.73	-1.1652	-1.9132	-0.6531	-0.1883	-0.8769	-0.6663	-0.6996	-1.2606	-1.7845	-0.539	1.2993	0.42	-1.4505	-0.7597	-0.8789	-0.7088	-0.8694	-0.7684	-0.0531	-1.192	-0.7044	-0.4107	-1.557	-0.8217	-0.6044	-1.1425	-1.6506	-0.097	-1.4431	-1.314	-0.9145	-1.1247	-0.3835	-1.1926	-0.4833	-0.9447	-1.6915	1.3485	-0.6678	2.4335	-1.6143	-0.2564	-1.2386	-0.6594	-0.7461	-1.0596	0.1869	2.3866	1.6849	1.9134	1.2953	0.0836	-0.9787	1.034	1.1842	-0.6513	0.6631	-0.7323	0.0575	2.5588	-0.3556	0.6282	-0.8915	0.524	-0.2024	2.7427	-0.206	1.7235	2.9519	2.1458	0.2838	0.6261	2.118	-0.8008	0.7431	0.4147	-0.7481	1.5416	-1.1158	0.5702	-0.8846	2.4061	-1.0189	0.8922	0.0129	2.074	1.6433	-0.3081	-0.6226	1.794	-0.5373	-1.6647	-0.1698	-1.0259	-0.6612	-1.0849	-1.908	1.8553	-1.2031	-1.1459	-0.7216	-0.7825	-0.9083	-1.3583
19_DNase	-1.0875	0.9633	0.2271	-1.3873	-0.4886	-0.5075	-0.7064	-0.8461	0.2739	-1.4473	-0.1191	0.4335	-1.1459	-0.033	-0.6855	0.0407	-1.8947	0.0618	1.2954	0.1118	-0.0138	-1.5341	0.5595	-0.7209	0.3064	-0.5553	-0.7466	-1.2659	-1.3748	-1.9669	-1.3575	-1.9351	-1.6672	-2.1054	-1.6409	-1.7783	-0.6321	-1.8314	-0.5382	-0.7279	-0.8572	-0.6144	0.096	-1.6662	-0.6703	-1.9492	-1.7513	-0.1127	-1.5644	-2.1573	-1.3526	-1.1043	-2.3354	-2.2273	-2.4067	-1.0645	-1.5607	-1.65	-1.244	-1.8573	-2.8964	-0.0782	-1.9724	-0.0824	-1.618	0.92	-0.3322	-2.6126	-0.5795	-0.2678	-1.6679	-0.7426	-2.0383	-0.5035	-1.1626	-0.6856	-1.8813	-1.0699	-0.7903	-2.0269	-0.3551	-1.0076	-0.5944	-1.2207	0.4824	0.1467	-0.4306	-0.175	-1.8593	-0.1771	-1.3885	-1.2533	-0.3805	-0.4506	-1.3762	-1.5696	-1.1144	-0.9234	-1.5398	-1.6449	-0.9826	-0.948	-1.968	-1.1627	-1.7497	-1.9156	-0.3796	-2.2735	-0.8135	-1.9989	-1.7418	0.2595	-1.6036	-1.4847	-1.3945	-0.3276	-0.6859	-1.8949	-1.6509	0.0268	-2.4639	-1.1263	-1.2963	-1.267	-0.5239	-1.6554	-1.8376
