Status	E001	E002	E003	E004	E005	E006	E007	E008	E009	E010	E011	E012	E013	E014	E015	E016	E017	E018	E019	E020	E021	E022	E023	E024	E025	E026	E027	E028	E029	E030	E031	E032	E033	E034	E035	E036	E037	E038	E039	E040	E041	E042	E043	E044	E045	E046	E047	E048	E049	E050	E051	E052	E053	E054	E055	E056	E057	E058	E059	E061	E062	E063	E065	E066	E067	E068	E069	E070	E071	E072	E073	E074	E075	E076	E077	E078	E079	E080	E081	E082	E083	E084	E085	E086	E087	E088	E089	E090	E091	E092	E093	E094	E095	E096	E097	E098	E099	E100	E101	E102	E103	E104	E105	E106	E107	E108	E109	E110	E111	E112	E113	E114	E115	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128	E129
10_TxEnh5'	-1.2353	-0.6	-0.9804	-0.8919	-0.193	-0.122	-0.9304	-0.9954	-0.9749	-1.2116	-1.0119	-1.0378	-0.025	-1.1627	0.1398	-1.1434	1.1737	-0.8795	-1.0166	-1.0327	-0.725	-0.1222	-0.1543	-1.2168	0.6365	0.3235	-0.7422	-1.7768	-0.3115	-1.285	0.3448	0.0185	-0.2338	-0.1521	-0.6143	-0.765	-1.2905	-0.5343	-1.3626	-0.8084	-0.8942	0.3487	-0.7414	-0.1648	-1.3652	-1.5139	-0.9623	-0.3762	0.0641	-0.1313	-0.917	-1.1569	-1.3095	-0.6017	0.4421	-0.0287	-0.7074	-0.7886	-0.7699	-1.4074	0.8099	-1.0516	-1.1746	-1.4637	-0.0664	-0.949	-1.2446	-0.6093	-1.0876	-1.2193	-0.8097	-1.0626	-0.4376	-0.246	-0.7503	-1.8537	-0.8515	-1.1268	-0.6362	-0.5803	-1.1734	-0.9701	-1.1093	-0.3583	-0.7057	-1.2809	-0.2042	-1.0343	0.4396	0.3778	-0.0483	-0.626	-1.1943	-0.851	-0.0429	-1.1812	0.8881	-1.5649	-0.9753	-1.5342	-1.1014	-0.3014	-1.1181	-1.0454	-1.8849	-1.3836	-0.9196	-0.6679	-1.1922	-1.5751	-1.049	-1.2243	-1.8671	-0.4983	-1.1566	-0.7894	-1.3901	-0.1004	-0.319	-1.3772	-1.0283	-1.387	0.9383	-0.1595	-0.9788	0.6666	-0.2723
11_TxEnh3'	-0.8723	-0.851	-0.7394	0.3707	-1.0391	-0.4606	-1.1082	-1.0168	-0.8124	-0.8139	-0.8263	-0.9869	-1.0414	-0.7039	-0.6246	-0.798	-0.9683	-0.7683	-0.7382	-0.8101	-0.7397	-0.8918	-0.2451	-0.6442	-0.2619	-1.2492	-1.1679	-1.05	-0.4216	-0.5133	-0.4763	0.458	2.5394	1.15	-0.4578	-0.2934	3.4706	2.008	4.0177	4.0427	1.221	0.287	3.2192	0.4358	2.5609	3.4652	2.8611	4.2745	-0.9934	-1.1979	0.0349	-1.0933	-0.9725	-1.0535	-1.2703	0.0434	-1.0677	-0.9595	-1.4803	-1.256	2.9572	0.1427	0.0598	-1.2273	-0.2722	-0.2165	-0.1415	-1.4143	0.3013	-0.6724	-0.0996	-0.0272	-1.2356	-0.4751	-1.1024	-0.4526	-1.0347	-0.8692	-0.1657	-0.8025	-1.1308	0.2085	-1.1243	-1.1534	0.6764	-1.1095	-1.3479	-1.1906	0.3964	-1.2449	0.461	-1.0214	-1.0391	-1.3203	-0.2004	-1.0161	-0.4097	-0.9871	-0.9485	-1.3396	-0.4109	-1.2312	-0.9394	-0.3776	-0.5916	-1.4212	-0.5617	0.1247	-0.4742	4.1966	-0.59	-0.1418	1.6092	1.4303	-1.0987	-1.2262	-1.0475	-1.0305	-0.2915	-0.209	-0.5222	-0.3377	-0.9323	-1.3044	-1.0102	1.1759	-0.4383
12_TxEnhW	-1.5021	-1.5788	-1.7853	-1.2544	-1.9017	-1.5141	-0.8553	-1.6169	-1.4858	-1.0848	-1.1875	-1.3072	-1.5389	-1.1735	-1.792	-1.3154	-1.2066	-1.2346	-1.6944	-2.0605	-1.9511	-1.6096	-1.4668	-1.7403	-1.5608	-1.0983	-0.8301	-1.1007	-2.0316	-2.2716	-1.0397	-2.35	-2.3405	-2.1478	-0.9738	-1.0736	-1.7408	-2.1712	-2.363	-2.3221	-2.3743	-1.8369	-1.5928	-1.5538	-1.6463	-2.2741	-2.3021	-2.4443	-1.4758	-1.134	-0.7414	-0.9778	-1.095	-0.8552	-2.4431	-1.741	-1.1988	-2.1086	-1.2859	-1.3235	-1.353	-1.9558	-1.9005	-0.2153	-1.7623	-1.5414	-1.0664	-0.9134	-1.5417	-2.0207	-1.6111	-1.9996	-1.4376	-1.8214	-1.243	-0.0861	-1.4238	-0.6723	-1.2931	-1.1023	-0.8853	-0.4579	-1.5805	-1.3924	-1.5015	-1.1086	-1.2955	-1.9472	-1.3888	-1.4235	-0.9637	-1.3205	-1.8188	-0.3357	-2.1524	-1.686	-1.3769	-1.4061	-1.75	-1.7917	-1.4539	-1.8004	-0.9059	-1.8405	-0.8695	-0.6565	-2.0784	-1.553	-1.1765	-1.387	-1.5555	-1.2943	-0.9079	-2.0308	-0.89	-1.6275	-1.4225	-1.6707	-1.3501	-1.0549	-0.9822	-1.9058	-1.9522	-2.2211	-1.4119	-1.8124	-1.9656
13_EnhA1	-0.783	0.6429	0.5236	1.7453	-0.3764	-0.6028	1.871	0.0091	2.1035	1.8504	-0.1659	1.878	0.0214	-0.1057	-0.7109	-0.0987	0.0266	-0.274	0.9548	-1.2415	0.5173	0.3479	0.0082	1.0821	-0.7542	-1.3734	-0.4916	-1.5188	-0.7427	0.8408	0.1661	0.6776	-0.0651	0.8668	-0.8191	0.9172	0.865	2.0924	1.2297	0.8737	1.9966	3.6272	1.4283	2.6114	1.9968	0.4005	1.5485	1.0628	-1.1798	0.6458	-0.1183	-0.5849	-0.3836	-0.5031	-0.9655	-1.3708	0.0521	0.0873	-0.7543	-1.0511	-0.7004	-0.5036	0.1079	0.1493	-0.3056	-0.5659	-0.4918	-0.1155	1.1726	0.2376	0.5968	-0.2384	0.185	0.6306	-0.059	-0.8048	-0.1212	1.0878	0.1472	-0.2367	-1.6934	-0.1197	0.436	0.3137	-0.9435	-1.2418	-0.2012	-1.4936	1.4579	1.0825	1.7234	0.2999	0.6651	-0.0665	-0.9038	1.0835	0.1565	-1.0183	-0.2975	-0.5229	1.0577	-0.5566	-0.1707	1.4889	-0.2261	0.4724	-0.3171	0.195	-0.2863	-0.0188	-0.9765	-1.963	0.4473	1.578	-0.9364	1.4544	-1.1742	-0.8258	-0.6572	-0.4926	1.1131	1.0456	-0.2577	-0.2671	-0.8275	-0.1376	0.2873
14_EnhA2	-1.6497	-0.7681	-0.3116	-1.3102	-0.1986	0.3373	-1.0791	-1.2182	-1.079	-1.4585	-1.7195	-1.3161	-1.2417	-1.7181	-1.3586	-1.9202	-1.5585	-1.5647	-1.8497	-1.2908	-1.0475	1.4598	-2.6388	-1.4425	-2.1215	-0.9878	-1.8841	-1.9167	-0.1945	-0.3013	-0.7966	-0.5745	0.6033	-1.0812	1.0505	-0.5378	-0.1709	-0.4033	-1.0164	-0.432	-2.0727	-1.1963	-0.2254	-1.384	0.1418	-0.6986	0.0156	-0.9059	-1.7087	-1.4794	-1.6791	-1.7306	-1.3001	-1.6037	-0.7869	-0.9134	-1.2088	-1.3952	-1.7511	-1.3717	2.2957	-1.0147	-1.3249	-2.2886	-0.79	-1.3868	-0.8974	-0.7274	-2.0411	-1.5691	-0.545	-1.4611	-0.8338	-1.8712	0.7518	-1.1904	0.6822	-0.2801	-1.9418	-0.8894	-1.0798	-0.9315	-1.2124	-0.9582	-0.707	-1.742	-2.2174	-0.3138	-1.1181	-1.6938	-1.1248	-0.4198	-0.7663	0.5876	-1.0897	-0.9832	-1.1954	-0.163	-0.8996	-1.5309	-1.3603	-0.8014	-0.0643	-1.2621	-1.5965	-1.5047	-1.8085	-1.54	-1.9865	0.4353	1.3081	-2.4624	-0.8758	-1.1966	-2.0599	-1.2612	-1.696	-0.968	-1.4225	-1.7448	-2.2902	-2.3209	-0.8846	-1.1781	-1.1033	-1.3175	-1.6731
15_EnhAF	-1.2124	-1.0411	-1.6216	-1.119	-1.5205	-1.3292	-0.7828	-1.2022	-2.0797	-1.6958	0.0092	-2.0978	-0.4788	-1.1066	-1.7656	-1.8401	-1.9532	-1.2871	-1.5915	-1.1625	-1.3088	-2.0717	-2.3314	-1.8631	-2.3333	-2.5219	-0.9318	-1.838	-2.9022	-0.8521	-0.0086	0.8215	-0.0561	-1.3031	0.2654	-0.6641	-1.2744	-0.5932	-1.0044	-0.3358	-1.6359	-0.661	-1.4282	0.3279	-0.1945	-1.1272	-0.8643	-1.0407	-1.8685	-1.034	-1.2177	-2.9705	-0.4275	0.1902	-1.8143	-1.112	-2.5684	-2.5845	-0.992	-1.1972	0.6034	-1.3459	-0.5473	-1.4198	-1.8476	-1.2078	-2.097	-0.1922	-2.5456	-1.5944	-2.1262	-1.571	-1.0221	-1.9884	-1.9578	-1.6223	-1.5648	-2.2258	-1.0948	-0.0292	-1.7598	-1.6403	-1.6378	-0.9053	-0.985	0.6499	-1.0757	-2.0144	-1.6813	-1.9994	-1.3623	-0.7641	-1.4697	-1.2935	-0.0405	-0.4949	-1.7403	-1.0677	-1.7259	-1.0878	-2.2235	-1.0013	-1.4771	-1.203	-1.6407	-0.7996	-0.2458	-0.9347	-0.9648	0.302	-1.5977	-2.4706	0.1603	-0.3869	-2.462	-1.402	-1.5691	-2.855	-3.1205	-2.8867	-0.2644	-1.7341	-2.906	-3.2591	-2.4787	-2.8823	-2.7953
16_EnhW1	-0.8283	-1.5109	-0.2533	-0.3808	-1.0664	-2.0795	-1.1265	-0.7936	-0.7541	-0.5791	-0.3	-1.513	0.0093	-1.9651	-1.0419	-1.0725	-0.5821	-0.3468	-1.7442	-2.1149	-1.0477	-1.3989	-1.2441	-0.507	-1.3622	-0.6594	-1.371	0.0525	-1.5901	-0.8795	-1.4605	-0.7864	-0.8713	-1.5382	-1.7444	-1.862	-0.9143	-0.9523	-1.2189	-1.0731	-1.3316	-1.0425	-0.9843	-1.8407	-1.6289	-0.7964	-0.2964	-1.0106	-1.8602	-1.2676	-1.4691	-0.6468	-0.8747	-2.413	-1.5693	-1.0795	-1.2893	-1.1547	-0.0983	-0.4041	-1.0841	-0.7202	-0.6519	-0.9103	-1.6397	-1.4835	-1.5227	-1.0641	-1.2367	-1.7393	-1.4876	-1.3045	-0.7843	-0.9769	-1.2146	-1.062	-0.7649	-0.9433	-0.4109	-0.7632	-1.1653	-1.5928	-0.3508	-0.9914	-1.1913	-0.7725	-1.6321	-1.7298	0.0556	-1.3188	-0.3	-0.1689	-0.3021	-0.6068	-1.0396	-0.6982	-1.1506	-0.4969	-0.711	-0.5665	-1.1178	-1.1339	-0.7847	0.0597	-0.9191	-0.6354	0.2247	-0.6003	-1.1568	-0.8476	-1.3447	-1.527	-1.0831	-0.595	-1.3174	0.1205	-1.1354	-0.2675	-0.0613	-0.4249	-0.4524	-1.8685	-1.2354	0.0875	-1.1919	-0.143	-0.7171
17_EnhW2	-2.6907	-2.7255	-3.4543	-3.2106	-2.1227	-2.9651	-1.3502	-2.6334	-2.6645	-2.8351	-2.7428	-2.3611	-3.345	-3.0731	-3.4863	-3.3847	-1.9803	-3.2271	-2.9332	-3.3608	-2.5696	-1.5426	-1.8693	-2.074	-3.068	-3.0125	-0.8245	-2.1143	-0.052	-1.7749	-1.958	-2.1395	-2.165	-2.0467	-2.917	-2.9652	-1.8531	-1.9817	-1.6054	-1.8894	-1.9479	-2.9667	-2.3535	-1.951	-2.5037	-1.8234	-1.8361	-2.2363	-2.7767	-1.506	-2.3987	-2.5068	-1.29	-1.936	-2.2096	-2.9552	-1.6987	-2.1442	-1.484	-1.3646	-2.3816	-1.033	-2.6817	-1	-3.0188	-2.571	-2.4868	-3.0517	-1.2999	-3.3822	-2.8781	-2.3886	-1.4724	-1.5539	-2.0584	-1.3855	-1.5871	-1.299	-1.5308	-2.1633	-1.2029	-1.8945	-2.1061	-1.7537	-1.2931	-2.0456	-2.3748	-2.1117	-1.24	-2.2459	-2.3014	-1.445	-2.6142	-1.6077	-2.0454	-2.3835	-1.353	-1.3878	-2.8361	-2.5102	-1.6971	-1.895	-1.5487	-1.8419	-1.7719	-1.7857	-1.4641	-2.0981	-1.3518	-2.5452	-0.6976	-2.0106	-0.887	-1.8168	-0.9414	-1.2001	-2.3557	-2.0493	-3.5071	-1.4586	-0.9077	-1.3427	-2.4981	-2.7365	-2.5127	-1.552	-3.4335
18_EnhAc	-0.4946	-0.9574	-0.7738	-0.7669	-0.8142	-1.7052	-1.2645	-0.8447	-0.7248	-1.269	-0.9917	-1.3918	-1.3352	-0.6071	-0.9689	-0.8356	-1.4003	-0.9024	-1.292	-0.7408	-1.2646	-1.0065	-1.5757	-1.3049	-2.1144	-1.2127	-2.2659	-1.8537	-1.1314	-0.5215	0.8626	-1.3811	-0.4767	1.6498	-0.0091	-1.5081	1.4448	1.2938	-0.807	-0.8374	-0.7483	0.1	-0.5293	-0.8181	-0.328	-1.4867	0.1369	1.0463	-1.4296	-1.0128	0.1987	-1.2914	-1.614	-1.0663	-1.9539	-1.504	-1.3463	-0.2597	-0.2664	-1.8	0.0407	-1.1855	-1.2114	-2.4308	-1.4851	-0.6858	-1.4894	-1.7064	-1.7063	-1.066	-1.5262	-0.4667	-1.2311	-1.7602	-1.5098	-0.7667	-0.1444	-1.3529	-1.4624	-1.9461	-0.3303	-1.1813	-1.5556	-0.951	-1.2261	-2.4194	-0.799	-0.01	-1.9102	-1.2869	-0.7141	-0.5167	-1.6321	-0.2614	-0.9449	-0.2451	-0.2394	-1.311	-1.0615	-1.5878	-1.5552	-0.9471	-0.7393	-0.6483	-1.5338	-1.5789	-0.676	-1.4695	-0.7551	-1.0928	-0.7087	-0.6588	-1.99	-0.2794	-1.742	-1.5329	-0.915	-0.8817	-1.0761	-2.0325	-0.9901	-0.6848	-1.5645	-1.6207	-1.9455	-0.9773	-1.6876
19_DNase	-2.5641	-1.5975	-2.1131	-2.5939	-2.7695	-1.7784	-1.7978	-1.826	-2.4177	-2.5769	-2.4282	-1.73	-3.1233	-1.445	-1.652	-1.8232	-3.2018	-1.4494	-1.8379	-1.4383	-2.6123	-2.8088	-2.4569	-2.9657	-2.5276	-1.911	-1.9401	-1.6463	-1.8685	-1.953	-2.2892	-2.396	-2.3395	-2.1399	-2.0282	-2.1295	-2.9568	-2.7214	-2.6537	-2.1802	-2.6128	-2.7779	-2.5995	-2.4185	-2.1284	-2.6604	-2.3946	-2.2063	-2.4012	-2.3985	-2.4502	-2.4426	-2.9307	-2.9062	-2.5889	-2.4827	-2.6634	-2.4761	-2.9307	-3.6994	-3.3713	-2.293	-2.5959	-1.9748	-2.9811	-1.457	-1.7203	-2.545	-1.5003	-1.5663	-2.0982	-1.8442	-3.08	-1.998	-2.267	-2.6879	-3.1282	-2.2412	-2.7525	-3.2399	-2.7734	-1.8534	-2.1129	-2.6453	-1.4977	-1.8419	-1.972	-1.8135	-2.4789	-2.3615	-2.5423	-3.1751	-1.8987	-2.1956	-2.5721	-3.1649	-3.4259	-2.7413	-2.7943	-2.0806	-1.9118	-2.3866	-3.2289	-2.4669	-2.3189	-2.7685	-2.2799	-2.0787	-2.1167	-3.1626	-1.8486	-2.4005	-3.2682	-2.9103	-2.6024	-3.3477	-1.2487	-2.5473	-3.0898	-2.4569	-2.9968	-2.1703	-3.0788	-1.9528	-1.9259	-2.9027	-2.3889
