Status	E001	E002	E003	E004	E005	E006	E007	E008	E009	E010	E011	E012	E013	E014	E015	E016	E017	E018	E019	E020	E021	E022	E023	E024	E025	E026	E027	E028	E029	E030	E031	E032	E033	E034	E035	E036	E037	E038	E039	E040	E041	E042	E043	E044	E045	E046	E047	E048	E049	E050	E051	E052	E053	E054	E055	E056	E057	E058	E059	E061	E062	E063	E065	E066	E067	E068	E069	E070	E071	E072	E073	E074	E075	E076	E077	E078	E079	E080	E081	E082	E083	E084	E085	E086	E087	E088	E089	E090	E091	E092	E093	E094	E095	E096	E097	E098	E099	E100	E101	E102	E103	E104	E105	E106	E107	E108	E109	E110	E111	E112	E113	E114	E115	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128	E129
10_TxEnh5'	-1.2151	-0.5878	-0.9738	-0.7334	0.1107	-0.2166	-0.9303	-0.8184	-0.9328	-1.0813	-1.2476	-0.9727	-0.2209	-1.0394	0.2719	-1.0928	1.0773	-0.9693	-1.1852	-1.1597	-0.7272	-0.2589	-0.1318	-1.0662	0.6092	0.3657	-0.796	-1.5332	-0.3345	-1.3612	0.3779	-0.0475	-0.1237	-0.1438	-0.7386	-0.7423	-1.2215	-0.4726	-1.2632	-0.7645	-1.0062	0.3801	-0.6072	-0.129	-1.219	-1.2905	-1.1238	-0.346	0.1291	-0.0916	-0.8556	-1.219	-1.33	-0.6395	0.3317	0.2222	-0.8122	-0.6482	-0.6538	-1.5956	0.8372	-0.9282	-1.1739	-1.3949	-0.1431	-0.8568	-1.2721	-0.5645	-1.132	-1.1821	-0.7246	-1.2609	-0.2248	-0.3957	-0.6817	-1.7841	-0.7282	-1.2306	-0.5729	-0.4795	-1.1947	-0.9506	-1.112	-0.3697	-0.725	-1.1352	-0.2514	-0.9178	0.4217	0.3766	-0.0253	-0.6804	-1.172	-0.9938	0.0193	-0.9584	0.9682	-1.426	-1.0543	-1.5169	-0.9901	-0.3378	-1.2203	-1.0432	-1.8633	-1.456	-0.8838	-0.6611	-1.0665	-1.4245	-1.0153	-1.1933	-1.7135	-0.45	-1.0178	-0.7716	-1.4815	-0.0994	-0.2956	-1.5315	-0.9883	-1.3326	0.6928	-0.0912	-1.0189	0.5663	-0.1474
11_TxEnh3'	-0.819	-0.8718	-0.7953	0.0295	-1.1597	-0.5199	-0.9186	-0.8204	-0.7868	-0.7363	-0.938	-0.9802	-0.9539	-0.7232	-0.6981	-0.7243	-1.0454	-0.848	-0.8288	-0.7869	-0.7356	-1.019	-0.3734	-0.7079	-0.182	-1.1292	-1.1161	-0.9695	-0.4423	-0.5037	-0.4614	0.3725	2.6061	1.3354	-0.4299	-0.3141	3.4163	2.0629	4.3315	3.4531	1.4041	0.2886	3.6058	0.4767	2.4845	3.7738	2.7876	4.5389	-1.1136	-1.1618	-0.1779	-1.084	-0.9924	-0.9439	-1.3218	-0.1821	-1.1467	-0.9586	-1.4654	-1.1478	2.2513	0.3475	-0.0313	-1.2204	-0.1214	0.0428	-0.0175	-1.1383	0.2831	-0.7489	-0.1485	-0.1015	-1.1102	-0.3413	-1.0822	-0.4849	-1.142	-0.6976	-0.1796	-0.942	-1.1155	0.061	-1.1259	-1.0899	0.7254	-1.1291	-1.2783	-1.2628	0.624	-1.2654	0.2499	-1.1287	-1.0402	-1.2484	-0.2718	-1.0654	-0.4927	-1.0717	-1.1406	-1.129	-0.5059	-1.0477	-1.0196	-0.3149	-0.4755	-1.2103	-0.5827	0.149	-0.5317	4.1676	-0.6202	-0.0151	1.4614	1.3966	-1.1193	-1.1773	-1.1365	-1.0647	-0.3162	-0.1964	-0.375	-0.27	-1.1372	-1.1857	-1.0284	0.9256	-0.2995
12_TxEnhW	-1.4294	-1.2552	-1.8856	-1.2387	-2.0549	-1.606	-1.0133	-1.451	-1.5005	-1.1567	-1.077	-1.2844	-1.5501	-0.9805	-1.6965	-1.314	-1.2193	-1.3574	-1.8509	-1.848	-1.8369	-1.4557	-1.4493	-1.8453	-1.8214	-1.5018	-0.856	-0.9869	-1.7838	-1.9838	-1.1917	-2.2379	-2.2314	-2.1436	-1.1588	-1.222	-1.9019	-2.2476	-2.3042	-2.2924	-2.2158	-2.1102	-1.5821	-1.6266	-1.7551	-2.3451	-2.3312	-2.3367	-1.4621	-1.1645	-0.6414	-0.9664	-1.0952	-0.8967	-2.1966	-1.7836	-1.079	-1.9294	-1.3493	-1.4496	-1.376	-1.9646	-1.9826	-0.369	-1.877	-1.5724	-1.1148	-0.8996	-1.7246	-1.8427	-1.9657	-2.0291	-1.6175	-1.7406	-1.4373	-0.0693	-1.2062	-0.8186	-1.3301	-1.0845	-0.887	-0.4141	-1.4142	-1.496	-1.4746	-1.0926	-1.1795	-1.8554	-1.2924	-1.5697	-1.0784	-1.4687	-1.9629	-0.2007	-2.077	-1.6919	-1.4968	-1.471	-1.6379	-1.7512	-1.4935	-2.0033	-1.0298	-1.8917	-0.8371	-0.795	-2.0814	-1.3643	-0.9694	-1.3768	-1.3551	-1.2448	-0.9177	-1.654	-0.9345	-1.7822	-1.2878	-1.6991	-1.3831	-1.0431	-1.0392	-1.9691	-1.8741	-1.895	-1.3264	-1.5437	-2.0283
13_EnhA1	-0.5921	0.6693	0.5871	1.4979	-0.3171	-0.622	1.8947	0.0813	1.6357	1.6101	-0.2928	1.6817	-0.0285	-0.2652	-0.4777	0.0138	-0.0998	-0.3801	0.9865	-1.1558	0.611	0.3838	-0.0461	1.0772	-0.7714	-1.292	-0.5099	-1.4496	-0.3576	0.5139	0.2645	0.5513	0.0078	1.0091	-0.8882	0.7461	0.6881	1.4551	1.1542	1.0066	2.0837	2.7859	1.5179	2.7388	1.9431	0.327	1.6594	0.9323	-1.2421	0.6092	-0.1043	-0.5446	-0.3175	-0.4009	-0.9714	-1.3351	0.0198	0.1351	-0.8038	-1.0095	-0.7189	-0.466	-0.1685	0.0765	-0.273	-0.3837	-0.4146	-0.0464	1.2519	0.1013	0.6414	-0.3527	0.145	0.7815	-0.0607	-0.6091	-0.2164	1.0272	0.1861	-0.3822	-1.437	-0.1346	0.6535	0.4574	-0.7536	-1.2804	0.0293	-1.5526	1.5353	1.091	1.8665	0.2466	0.6629	-0.1946	-0.9556	0.9347	0.1748	-1.0322	-0.4192	-0.3493	1.1281	-0.5216	-0.2097	1.8002	-0.3163	0.3969	-0.419	0.1911	-0.3069	-0.1073	-1.0848	-1.8754	0.2678	1.4478	-0.9715	1.3264	-1.2065	-0.8347	-0.917	-0.4746	1.1924	1.2053	-0.2323	-0.441	-0.9712	-0.3645	0.2031
14_EnhA2	-1.6168	-0.7807	-0.3875	-1.206	-0.1504	0.1382	-1.244	-1.3169	-1.0059	-1.6932	-1.7487	-1.2881	-1.0457	-1.8975	-1.2112	-1.8145	-1.5201	-1.682	-1.8905	-1.3222	-1.1128	1.3826	-2.456	-1.4417	-2.1472	-0.9786	-1.8746	-1.8916	-0.1402	-0.1622	-0.6991	-0.4778	0.6409	-1.2576	1.0386	-0.4789	-0.1509	-0.4257	-0.9975	-0.5553	-1.9334	-1.4481	-0.1923	-1.4942	0.1008	-0.6207	0.0173	-0.9299	-1.6169	-1.2547	-1.8762	-1.7688	-1.2184	-1.6396	-0.8023	-0.9419	-1.1718	-1.3894	-1.5526	-1.1867	2.5493	-1.0256	-1.1473	-2.1322	-0.6587	-1.3378	-0.8873	-0.7265	-1.808	-1.604	-0.683	-1.2956	-0.9093	-1.9098	0.5389	-1.2258	0.3986	-0.319	-1.7881	-0.8686	-1.1141	-0.862	-1.2997	-0.8947	-0.6063	-1.6144	-2.0011	-0.4898	-1.1704	-1.6183	-1.1232	-0.3364	-0.7675	0.5222	-0.9606	-0.8719	-1.1021	-0.3005	-0.7929	-1.3277	-1.3489	-0.6916	-0.2144	-1.1704	-1.5717	-1.4363	-1.6259	-1.7243	-2.1293	0.5481	1.3797	-2.2277	-0.7976	-1.1789	-1.9023	-1.0831	-1.8835	-0.98	-1.1632	-2.004	-1.9454	-2.3404	-0.9101	-1.3955	-1.1433	-1.3719	-1.5761
15_EnhAF	-1.1475	-0.9094	-1.7899	-1.0295	-1.5316	-1.3789	-0.7847	-1.2391	-2.2417	-1.7914	-0.0063	-2.2469	-0.6085	-1.0451	-1.8118	-1.5826	-1.7453	-1.3895	-2.0398	-1.0588	-1.0889	-2.068	-2.1194	-1.859	-2.289	-2.4392	-1.1398	-1.8849	-2.6312	-0.9359	0.072	0.8516	-0.0057	-1.3032	0.3509	-0.581	-1.2446	-0.5858	-1.1414	-0.2182	-1.6059	-0.7958	-1.4658	0.225	-0.0831	-1.1019	-0.9889	-0.6656	-1.9808	-0.8227	-1.457	-2.721	-0.3497	0.3525	-1.568	-1.151	-2.3629	-2.2916	-1.1048	-1.0407	0.7123	-1.4145	-0.6964	-1.604	-2.1205	-1.1656	-2.1655	-0.0368	-2.3062	-1.6191	-1.9984	-1.6252	-0.9725	-1.866	-1.8824	-1.6139	-1.6442	-2.2674	-0.9384	0.0035	-1.6985	-1.7917	-1.7159	-0.8727	-1.0299	0.5224	-1.045	-2.2528	-1.5335	-1.7042	-1.4174	-0.8926	-1.4277	-1.3988	0.0089	-0.6051	-1.7107	-1.158	-1.6339	-1.202	-1.9937	-0.9276	-1.4274	-1.4423	-1.5139	-0.7575	-0.3438	-0.9588	-0.9917	0.4815	-1.5097	-2.174	0.2384	-0.3802	-2.418	-1.443	-1.7687	-2.8965	-3.0928	-2.8195	-0.1081	-1.4981	-2.6685	-2.7783	-2.3417	-2.6375	-2.8499
16_EnhW1	-0.9076	-1.6429	-0.3453	-0.2843	-1.2527	-1.8881	-1.1694	-0.7781	-0.75	-0.6436	-0.4759	-1.4853	-0.1048	-1.6574	-1.0646	-0.9311	-0.5526	-0.4151	-1.7522	-2.0366	-1.081	-1.3045	-1.1117	-0.5157	-1.365	-0.7011	-1.3991	0.1505	-1.5049	-0.9098	-1.5411	-0.5516	-0.972	-1.3277	-1.8119	-1.8908	-0.8375	-0.9261	-1.2477	-1.2859	-1.2228	-1.153	-0.9695	-1.7631	-1.503	-0.8906	-0.3367	-1.0611	-1.6654	-0.9728	-1.5313	-0.7416	-1.0073	-2.0354	-1.4897	-1.0435	-1.1454	-1.3529	-0.1648	-0.544	-1.1657	-0.6865	-0.6456	-0.9408	-1.5701	-1.4232	-1.6157	-1.1444	-1.2874	-1.6325	-1.5221	-1.3725	-0.6929	-0.7286	-1.1348	-0.8864	-0.9588	-0.8885	-0.5264	-0.6898	-1.3137	-1.5675	-0.347	-0.9028	-1.0611	-0.8942	-1.4071	-1.5549	0.0358	-1.2388	-0.3228	-0.2635	-0.2328	-0.6939	-1.1075	-0.7574	-1.2676	-0.4351	-0.7569	-0.58	-1.1004	-1.0408	-0.7855	0.1062	-1.0137	-0.6786	0.1521	-0.6427	-1.2932	-0.9951	-1.2609	-1.3533	-0.8935	-0.5606	-1.2752	0.0826	-1.0543	-0.3135	0.0017	-0.3855	-0.6039	-1.7605	-1.1492	0.0694	-1.201	-0.1523	-0.6809
17_EnhW2	-3.0102	-2.6637	-3.6688	-3.246	-2.1283	-2.5882	-1.433	-2.6199	-2.8503	-2.6413	-2.7674	-2.6933	-3.2176	-3.2438	-3.0786	-2.7196	-2.099	-3.0967	-3.0524	-3.4405	-2.2418	-1.485	-1.9871	-2.1135	-2.821	-3.2454	-0.81	-2.1014	0.0288	-1.9049	-1.8313	-2.0648	-2.0633	-1.9532	-3.0194	-3.3161	-2.0754	-2.3518	-1.6789	-2.097	-1.7648	-2.5916	-2.2003	-1.9573	-2.4293	-1.9452	-1.9868	-1.9535	-2.7396	-1.3499	-2.3722	-2.8513	-1.1632	-2.1243	-2.2692	-2.867	-1.6025	-2.1865	-1.4496	-1.3822	-2.5058	-1.2467	-2.5036	-1.0239	-2.7926	-2.5074	-2.4878	-2.7073	-1.189	-3.274	-2.7461	-2.4706	-1.2651	-1.4561	-2.0343	-1.0454	-1.7056	-1.4394	-1.6131	-2.0208	-1.224	-1.9785	-2.0304	-1.5938	-1.3947	-2.0259	-2.5045	-2.0563	-1.3978	-2.4051	-2.1575	-1.4394	-2.2694	-1.7889	-1.8564	-2.2213	-1.4018	-1.4224	-2.7247	-2.3636	-1.8485	-1.8821	-1.4351	-1.638	-1.4717	-1.5292	-1.8201	-1.9928	-1.4034	-2.4482	-0.6266	-1.8406	-0.9721	-1.9588	-0.9888	-1.1345	-2.3797	-2.1534	-3.257	-1.4641	-0.8594	-1.3894	-2.4181	-2.6353	-2.6078	-1.6806	-3.1002
18_EnhAc	-0.421	-0.8655	-0.7004	-0.752	-0.8168	-1.5849	-1.2598	-0.8363	-0.6869	-1.1422	-1.0304	-1.3886	-1.4054	-0.6322	-1.0152	-0.8959	-1.3028	-0.8903	-1.159	-0.7455	-1.1987	-0.881	-1.7824	-1.3737	-2.084	-1.3683	-2.2004	-1.7299	-1.1285	-0.5267	0.7879	-1.2862	-0.5838	1.2225	-0.0074	-1.3755	1.4721	1.1218	-0.7726	-0.8811	-0.7647	0.1619	-0.4739	-0.6731	-0.4013	-1.5107	0.1781	0.7253	-1.536	-1.0258	0.1848	-1.4679	-1.5478	-1.3719	-1.7836	-1.4327	-1.3002	-0.2207	-0.2446	-1.6944	-0.0094	-1.3072	-1.1565	-2.2782	-1.4648	-0.6265	-1.3283	-1.9095	-1.6272	-1.1247	-1.2683	-0.3354	-1.0949	-1.7571	-1.4959	-0.8485	-0.1679	-1.5516	-1.4071	-1.7582	-0.4381	-1.2662	-1.5516	-0.9723	-1.3835	-2.3506	-0.7563	-0.1597	-2.0816	-1.3545	-0.6269	-0.475	-1.6258	-0.0599	-0.7728	-0.2942	-0.4324	-1.2962	-1.1603	-1.619	-1.5059	-1.0345	-0.626	-0.6543	-1.6509	-1.4202	-0.5258	-1.6347	-0.8141	-1.1005	-0.6631	-0.5712	-2.1082	-0.2833	-1.7701	-1.3914	-0.9217	-0.8973	-1.0918	-2.2398	-0.9745	-0.5446	-1.7419	-1.7476	-1.9309	-0.9818	-1.7167
19_DNase	-2.4787	-1.6405	-1.9655	-2.3757	-2.6912	-1.868	-2.0209	-1.9901	-2.0975	-2.5131	-2.3633	-1.6718	-2.728	-1.7004	-1.8117	-2.263	-3.044	-1.2741	-1.7413	-1.5824	-2.5774	-2.7981	-2.2382	-2.3071	-2.3575	-2.059	-2.0584	-1.9128	-1.9622	-1.915	-2.1035	-2.4308	-2.2159	-2.1645	-2.1467	-2.3967	-2.8779	-2.7113	-2.5663	-2.2707	-2.5323	-2.7146	-2.6093	-2.6053	-2.0555	-2.5161	-2.5977	-2.6659	-2.2291	-2.4702	-2.5442	-2.3084	-2.6662	-2.8942	-2.6046	-2.595	-2.8261	-2.0538	-2.8008	-3.5414	-3.5855	-2.3345	-2.5437	-1.7665	-2.4551	-1.5645	-1.6379	-2.6877	-1.5515	-1.5834	-2.0615	-1.5944	-2.8159	-2.1336	-2.188	-2.8094	-2.6564	-2.2351	-2.6933	-3.828	-2.5914	-1.8435	-1.948	-2.5249	-1.4247	-1.9856	-1.8471	-1.794	-2.4762	-2.2779	-2.5024	-3.0024	-1.9629	-2.2538	-2.5387	-2.938	-3.1887	-2.7925	-2.5094	-2.1896	-1.9411	-2.3149	-2.8512	-2.6872	-2.2644	-2.6546	-2.4588	-2.1412	-2.2265	-2.7308	-1.9054	-2.5947	-2.7433	-2.6628	-2.3414	-3.4157	-1.3005	-2.844	-2.6629	-2.7989	-3.0614	-2.3551	-2.561	-1.8852	-1.7619	-2.8616	-2.6258
