Status	E001	E002	E003	E004	E005	E006	E007	E008	E009	E010	E011	E012	E013	E014	E015	E016	E017	E018	E019	E020	E021	E022	E023	E024	E025	E026	E027	E028	E029	E030	E031	E032	E033	E034	E035	E036	E037	E038	E039	E040	E041	E042	E043	E044	E045	E046	E047	E048	E049	E050	E051	E052	E053	E054	E055	E056	E057	E058	E059	E061	E062	E063	E065	E066	E067	E068	E069	E070	E071	E072	E073	E074	E075	E076	E077	E078	E079	E080	E081	E082	E083	E084	E085	E086	E087	E088	E089	E090	E091	E092	E093	E094	E095	E096	E097	E098	E099	E100	E101	E102	E103	E104	E105	E106	E107	E108	E109	E110	E111	E112	E113	E114	E115	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128	E129
10_TxEnh5'	2	0	0	0	7	8	1	0	1	1	2	0	10	0	3	0	14	2	2	2	0	2	24	1	28	23	13	10	24	33	20	35	10	32	15	16	27	22	24	23	48	23	43	22	17	23	22	21	25	37	19	17	3	5	18	17	7	7	8	12	25	19	2	22	10	8	7	6	10	8	11	9	9	22	21	17	5	12	2	5	10	11	15	3	5	12	6	5	8	14	28	5	7	16	2	3	7	4	17	16	10	4	8	9	12	17	14	21	14	5	8	10	7	11	5	12	4	11	16	5	9	25	16	9	9	7	18
11_TxEnh3'	2	1	1	2	8	11	4	2	0	3	1	5	0	2	2	1	5	4	1	2	0	2	6	1	6	3	7	3	21	18	31	23	32	12	19	10	24	25	24	21	6	26	12	16	25	31	33	30	6	12	10	3	6	6	4	10	7	5	14	7	25	9	3	8	8	11	10	8	5	7	8	7	11	10	8	9	7	13	11	2	7	22	17	13	11	8	19	17	20	15	22	9	1	2	5	10	18	1	10	11	16	3	5	15	10	1	18	15	10	45	19	10	24	41	8	12	4	4	5	8	18	20	7	3	3	12	5
12_TxEnhW	5	6	2	5	4	11	3	2	5	4	7	10	7	5	3	3	6	3	1	1	1	2	4	1	13	5	26	11	6	13	24	18	38	16	27	17	27	31	31	36	22	36	27	32	47	15	21	34	6	11	10	7	6	2	14	14	17	16	8	7	29	24	12	24	19	17	18	8	15	15	23	19	12	16	23	26	12	8	10	4	8	7	8	13	11	17	8	6	9	8	21	3	11	21	12	7	7	19	19	16	20	11	17	33	19	19	19	27	24	25	23	6	24	30	9	7	11	4	7	6	12	23	8	9	12	9	10
13_EnhA1	5	2	4	6	9	10	5	2	6	8	1	9	8	9	4	6	23	3	6	2	2	2	28	4	31	24	8	9	20	27	26	36	15	32	4	27	32	26	41	28	57	36	27	46	18	33	25	22	19	13	43	25	4	2	15	10	12	10	4	7	3	24	8	22	10	10	8	4	18	10	12	10	14	15	18	9	6	22	6	1	7	20	19	4	1	11	10	13	22	16	38	3	13	10	3	7	3	6	15	18	20	7	5	23	13	18	12	20	20	21	9	14	41	57	25	23	11	11	11	22	29	55	16	13	21	17	24
14_EnhA2	7	0	3	2	15	10	1	0	8	11	10	10	8	2	12	4	5	1	8	8	0	5	24	3	24	11	3	15	27	34	31	39	26	30	24	32	71	51	68	75	52	52	62	35	47	24	46	63	5	55	17	16	8	12	20	22	11	17	4	7	30	25	0	4	12	12	10	3	10	7	16	13	17	30	23	17	10	14	6	3	13	8	7	7	4	22	10	11	9	7	25	3	4	4	4	6	12	5	30	20	10	1	7	10	19	15	3	14	9	20	22	5	22	24	6	11	13	13	20	12	19	16	18	11	14	3	18
15_EnhAF	9	7	5	8	17	21	21	7	10	12	11	7	12	3	4	6	25	8	1	4	6	14	15	7	8	7	25	23	40	29	31	48	72	54	39	33	63	73	48	65	42	56	85	47	59	62	74	58	17	49	33	6	21	11	13	12	12	13	14	18	58	20	14	24	14	16	14	23	9	20	13	12	28	10	21	32	21	27	12	17	15	30	41	25	14	29	29	29	49	20	60	28	17	34	30	25	14	22	19	35	17	28	28	40	18	27	41	22	18	53	15	19	51	47	10	19	22	22	17	15	38	21	19	23	12	25	9
16_EnhW1	17	3	11	8	6	6	5	7	10	5	11	9	12	12	12	11	7	19	16	16	5	6	11	7	17	10	7	9	3	5	10	12	13	9	15	4	9	11	12	8	7	4	7	13	9	8	14	11	7	8	9	7	2	3	10	10	7	5	8	6	11	11	8	11	4	7	7	1	10	2	8	9	4	14	16	17	9	1	5	4	9	4	6	6	2	5	0	1	9	4	9	3	8	7	7	7	2	7	17	10	8	3	1	8	7	15	9	7	5	9	16	7	5	9	8	9	4	7	8	2	4	4	5	8	6	7	8
17_EnhW2	32	60	27	43	24	27	52	58	32	13	40	33	24	33	21	21	16	42	23	22	36	36	46	40	26	25	44	34	41	92	111	75	116	75	73	54	53	54	48	55	35	65	27	94	92	72	62	65	28	56	22	22	14	31	16	17	37	18	34	25	120	30	18	44	26	32	26	22	31	37	35	31	30	31	31	51	24	25	42	15	31	25	23	45	28	14	12	19	49	26	63	25	27	42	21	12	33	31	38	28	40	12	31	56	36	31	59	35	37	98	66	16	74	89	28	14	15	21	28	12	55	44	19	26	9	31	17
18_EnhAc	4	0	0	0	41	7	5	0	5	18	2	4	7	0	0	1	8	0	0	0	0	5	4	3	4	2	5	6	24	7	20	16	5	15	14	9	12	9	3	8	7	11	20	1	4	9	12	7	7	25	16	2	15	9	4	5	1	8	2	12	11	19	14	12	1	2	4	12	2	0	2	4	15	5	17	4	12	23	19	9	20	16	8	14	20	19	28	13	6	5	17	17	9	19	16	33	38	12	15	10	4	10	23	6	17	17	12	30	14	4	5	19	25	15	15	33	4	10	2	12	20	13	2	3	8	2	2
19_DNase	15	19	9	9	15	20	9	6	18	21	23	7	14	13	13	12	17	9	22	15	10	14	12	12	17	20	16	16	8	3	6	4	3	9	2	6	11	13	11	10	11	11	17	9	12	6	8	13	21	5	9	17	11	8	14	12	10	17	18	16	10	15	21	15	11	17	19	10	24	13	13	21	10	16	12	11	14	11	11	15	17	6	13	19	17	14	10	12	5	15	5	17	20	19	18	10	18	16	12	8	16	18	17	12	6	13	11	6	11	4	21	22	8	5	18	17	16	16	13	22	11	6	18	12	23	9	13
