Status	E001	E002	E003	E004	E005	E006	E007	E008	E009	E010	E011	E012	E013	E014	E015	E016	E017	E018	E019	E020	E021	E022	E023	E024	E025	E026	E027	E028	E029	E030	E031	E032	E033	E034	E035	E036	E037	E038	E039	E040	E041	E042	E043	E044	E045	E046	E047	E048	E049	E050	E051	E052	E053	E054	E055	E056	E057	E058	E059	E061	E062	E063	E065	E066	E067	E068	E069	E070	E071	E072	E073	E074	E075	E076	E077	E078	E079	E080	E081	E082	E083	E084	E085	E086	E087	E088	E089	E090	E091	E092	E093	E094	E095	E096	E097	E098	E099	E100	E101	E102	E103	E104	E105	E106	E107	E108	E109	E110	E111	E112	E113	E114	E115	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128	E129
10_TxEnh5'	0	0	0	0	2	2	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	8	1	9	8	2	4	6	9	4	10	5	9	2	6	10	9	8	6	11	10	8	5	6	5	9	9	9	10	7	6	0	0	7	6	3	4	3	3	10	7	1	5	1	0	0	0	4	0	4	0	0	7	2	5	0	5	0	0	1	2	2	0	1	3	1	1	3	1	4	1	1	5	1	0	2	1	4	1	3	2	2	1	6	7	1	4	6	0	2	1	3	3	1	2	2	7	6	1	2	5	3	4	2	2	6
11_TxEnh3'	2	1	1	1	4	4	2	2	0	0	1	5	0	2	2	1	1	3	1	2	0	2	2	1	0	1	5	3	2	0	7	8	7	1	1	0	1	1	2	1	0	1	2	1	2	9	6	1	2	0	0	2	5	3	0	2	4	4	5	5	4	1	0	1	5	7	5	4	2	5	3	5	8	1	1	5	5	3	1	1	5	7	7	5	4	4	8	8	4	7	1	7	1	0	1	6	8	1	3	5	7	2	5	7	3	1	9	4	3	13	4	4	2	13	4	6	2	2	2	2	2	0	4	1	2	2	2
12_TxEnhW	2	1	0	1	0	5	1	1	1	1	2	2	3	1	0	1	2	1	0	1	0	1	1	0	2	0	10	3	1	1	6	7	9	5	8	3	2	4	5	9	6	7	6	7	8	4	6	8	1	3	3	0	1	1	3	6	4	3	2	4	6	4	5	5	4	5	3	1	1	3	3	5	4	3	7	5	3	2	2	1	4	3	2	4	4	2	3	2	1	2	6	1	4	6	3	2	1	7	6	4	4	3	7	10	6	7	4	5	4	8	10	3	9	9	3	1	3	0	1	4	4	6	5	3	4	5	3
13_EnhA1	4	2	0	4	4	6	2	2	3	3	1	4	4	3	2	1	12	1	1	0	2	2	8	2	13	9	6	6	18	14	17	19	9	12	2	22	21	16	19	16	28	15	14	24	4	17	10	15	7	7	31	9	3	2	6	3	10	8	3	3	2	14	3	13	5	5	4	3	9	6	6	6	9	9	12	5	6	12	3	1	4	12	13	3	1	5	5	3	14	7	22	3	8	10	2	7	3	3	10	13	11	5	4	15	6	9	8	14	9	15	8	9	23	40	20	15	8	5	5	9	16	37	7	6	10	6	11
14_EnhA2	2	0	2	0	9	8	1	0	5	9	3	8	4	0	7	1	3	0	2	1	0	1	11	3	7	7	0	8	18	27	20	21	10	12	13	17	16	17	16	21	9	18	19	12	24	11	15	14	4	37	8	10	1	6	13	15	6	9	0	3	18	10	0	0	4	3	3	2	1	1	5	4	11	8	16	5	4	7	2	1	7	4	4	3	1	10	3	5	7	2	13	3	3	3	1	3	8	3	10	7	3	1	4	5	9	8	1	7	1	10	10	2	5	9	1	7	6	7	10	4	5	8	12	5	8	3	10
15_EnhAF	4	1	1	2	10	12	13	0	6	7	1	1	1	0	2	2	16	1	1	1	0	5	8	3	4	3	10	9	19	17	12	20	26	16	21	16	14	16	12	14	6	15	16	12	15	18	17	15	9	25	15	3	6	4	9	8	5	6	7	9	22	8	9	15	5	9	9	8	5	8	6	5	10	6	9	15	13	13	5	8	8	13	14	14	8	13	22	19	22	8	20	18	9	14	14	18	6	12	14	17	6	15	17	20	10	9	19	14	8	18	9	9	20	18	4	10	9	11	6	5	28	7	10	13	6	16	6
16_EnhW1	13	1	6	4	5	1	3	4	7	4	9	5	8	7	8	4	3	10	10	7	2	5	8	5	6	8	6	8	2	3	6	8	5	7	11	3	5	6	7	6	2	1	3	7	6	7	5	7	3	5	3	4	1	0	1	3	5	3	6	4	9	8	4	7	4	5	5	0	7	2	7	6	3	11	6	12	6	1	2	1	3	2	4	3	2	4	0	1	8	3	7	3	5	5	6	2	1	5	10	7	6	3	1	8	5	11	8	4	4	4	7	3	4	5	5	2	3	6	7	2	2	2	3	5	4	3	6
17_EnhW2	16	28	15	25	16	14	27	26	21	10	23	18	15	18	8	13	5	20	10	11	17	18	23	14	14	9	23	18	20	33	35	23	47	18	36	18	15	10	15	10	7	14	7	25	16	22	20	17	14	8	9	14	10	14	9	7	12	7	16	17	33	18	5	21	12	15	10	10	19	19	15	15	12	14	9	25	5	17	24	6	15	6	7	25	16	4	4	8	21	15	15	12	14	21	11	3	21	17	14	7	20	4	16	24	21	16	21	10	21	29	31	8	28	26	12	8	9	11	15	8	11	24	11	16	2	19	10
18_EnhAc	2	0	0	0	18	2	1	0	1	9	0	1	5	0	0	0	4	0	0	0	0	1	2	0	2	2	2	4	10	4	6	9	0	8	4	2	4	5	0	3	5	4	6	0	1	1	4	3	2	6	8	2	7	4	2	2	0	1	1	2	2	12	6	0	0	1	1	3	1	0	1	1	4	1	8	1	4	8	4	2	2	6	3	5	7	6	10	5	1	3	6	4	2	5	5	9	20	4	2	4	0	1	4	0	3	4	8	11	1	1	0	8	11	4	6	9	3	7	1	7	4	6	1	1	4	1	1
19_DNase	8	11	4	4	6	15	7	3	10	11	16	2	8	6	5	5	12	4	13	7	6	9	7	2	9	14	10	7	2	1	3	1	0	5	0	1	6	7	7	4	6	7	13	4	5	2	5	5	13	1	2	9	6	5	9	10	6	8	10	7	5	7	17	9	5	7	10	5	13	4	6	12	4	6	7	7	6	6	6	8	8	3	7	9	11	10	4	4	1	3	2	6	11	9	12	6	11	8	7	4	10	11	10	3	2	6	5	2	5	0	12	16	4	2	10	6	11	9	7	14	7	2	11	9	15	5	7
1_TssA	5	4	1	1	1	1	1	0	1	1	1	1	0	5	1	0	1	3	3	1	1	1	0	1	1	1	6	1	0	0	3	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	1	1	1	1	0	9	1	0	1	1	1	0	6	1	1	1	4	0	5	0	4	0	2	1	0	1	0	0	1	0	0	0	0	0	0	0	6	3	1	2	1	7	1	1	0	4	5	0	0	0	4	3	1	0	0	1	0	2	1	1	0	1	1	1	2	0	1	2	1	1	1
20_ZNF/Rpts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21_Het	5	2	3	4	0	0	0	3	1	2	3	2	2	4	1	3	0	3	4	4	2	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	2	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	0	1	0	1	2	2	2	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0
22_PromP	0	3	3	4	10	1	2	3	5	2	5	0	3	1	3	3	2	0	4	3	3	4	1	3	2	0	3	3	7	7	5	2	0	0	2	8	6	1	0	3	5	3	0	2	3	0	5	6	1	6	9	1	9	2	1	1	1	4	0	12	0	2	9	9	5	4	7	3	1	7	5	6	4	3	9	0	6	5	1	1	1	11	9	1	11	1	2	5	10	1	0	11	1	2	9	8	1	7	7	8	0	2	0	8	8	4	7	7	5	0	10	4	3	4	3	4	4	2	3	3	10	9	2	0	5	2	1
23_PromBiv	8	9	10	7	3	3	9	8	9	11	11	13	12	8	10	9	0	10	7	10	7	7	8	11	11	1	4	3	2	2	3	2	4	4	0	1	1	0	2	0	0	0	2	0	0	2	0	1	0	0	0	1	15	9	2	4	6	2	3	3	2	5	5	5	7	7	5	14	2	5	9	6	5	9	5	3	3	18	9	6	11	11	11	12	9	14	13	13	15	16	5	3	2	2	5	3	8	4	3	4	10	4	2	1	7	13	1	5	7	5	5	8	10	3	1	12	7	1	1	13	9	0	1	1	4	1	1
24_ReprPC	9	12	8	11	14	28	10	12	6	8	10	7	18	12	8	10	49	8	10	12	12	11	36	11	32	43	16	13	7	10	9	6	8	5	12	8	10	10	8	12	9	10	8	10	10	6	11	10	42	5	3	35	5	12	39	50	34	30	44	20	7	17	4	9	19	20	10	17	8	15	11	11	11	15	5	12	3	13	11	17	13	23	18	15	7	15	26	26	26	24	10	8	5	9	9	7	23	4	6	4	17	5	10	9	15	11	9	11	16	7	5	14	4	6	23	11	28	35	35	21	9	8	44	45	16	49	44
