Status	E001	E002	E003	E004	E005	E006	E007	E008	E009	E010	E011	E012	E013	E014	E015	E016	E017	E018	E019	E020	E021	E022	E023	E024	E025	E026	E027	E028	E029	E030	E031	E032	E033	E034	E035	E036	E037	E038	E039	E040	E041	E042	E043	E044	E045	E046	E047	E048	E049	E050	E051	E052	E053	E054	E055	E056	E057	E058	E059	E061	E062	E063	E065	E066	E067	E068	E069	E070	E071	E072	E073	E074	E075	E076	E077	E078	E079	E080	E081	E082	E083	E084	E085	E086	E087	E088	E089	E090	E091	E092	E093	E094	E095	E096	E097	E098	E099	E100	E101	E102	E103	E104	E105	E106	E107	E108	E109	E110	E111	E112	E113	E114	E115	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128	E129
10_TxEnh5'	-0.6269	-0.3297	-0.649	-0.4358	-0.5376	-0.883	-0.8044	-0.4584	-0.6299	-1.0108	-0.854	-0.8147	-0.4214	-0.7371	-0.8883	-0.7326	-0.6594	-0.6842	-0.7748	-0.8335	-0.365	-0.5841	-0.2942	-0.6753	-0.3796	-0.4047	-0.9925	-0.5864	-0.6169	-0.4443	-0.7467	-0.3226	-0.2564	-0.5572	-0.6916	-0.5996	-0.5666	-0.3963	-0.7035	-0.9725	-0.7578	-0.5326	-0.7038	-0.8312	-0.4653	-0.6705	-0.5544	-0.4008	-0.4626	-0.4147	-0.6029	-0.5137	-0.9169	-0.6522	-0.5746	-0.5377	-0.5705	-0.6663	-0.4251	-0.7084	-0.0256	-0.5967	-0.6248	-0.6967	-0.7441	-0.9665	-1.0909	-1.006	-0.8837	-0.9014	-0.5973	-1.0661	-1.0671	-0.5756	-0.89	-0.6336	-0.8324	-0.6015	-0.6345	-0.6515	-0.916	-0.8201	-0.7597	-0.6156	-0.8546	-0.6761	-0.8905	-0.9608	-0.6302	-0.8037	-0.6201	-0.7253	-1.2346	-0.4997	-0.766	-1.1	-0.7146	-0.6115	-0.663	-0.8512	-0.6567	-0.7953	-0.946	-1.2204	-0.6687	-0.6822	-0.8768	-0.6843	-0.5035	-0.789	-0.7855	-0.9897	-0.832	-0.7448	-0.9487	-0.7204	-0.8446	-0.1431	-0.1749	-0.837	-0.9453	-0.7354	-0.6076	-0.3717	-1.0309	-0.6247	-0.481
11_TxEnh3'	0.1134	-0.4182	-0.3272	-0.4824	-0.2501	-0.3022	-0.4029	-0.1946	-0.3623	-0.4901	-0.4867	0.028	-0.6238	-0.2202	0.0158	-0.2518	-0.4645	0.0525	-0.3794	-0.2584	-0.6571	-0.316	-0.4671	-0.2382	-0.5847	-0.6386	0.1552	-0.1898	-0.5542	-0.6916	-0.1225	0.6545	0.0565	-0.6327	-0.5973	-0.7578	-0.6648	-0.5392	-0.3641	-0.8675	-0.6359	-0.4553	-0.3786	-0.4876	-0.46	0.4938	0.0539	-0.4552	-0.2631	-0.6975	-0.4654	-0.3307	0.0983	-0.1832	-0.8171	-0.6059	-0.2528	-0.0333	-0.2931	-0.1221	-0.1016	-0.4413	-0.4844	-0.5586	-0.2993	-0.0246	-0.2765	-0.1234	-0.5742	-0.3075	-0.4753	-0.3316	0.5677	-0.6661	-0.7044	-0.0336	-0.0013	-0.4282	-0.412	-0.4034	-0.0842	-0.0309	0.1818	-0.1578	0.0195	-0.0037	0.2712	0.0246	-0.4641	0.1233	-0.7636	0.4018	-0.4098	-0.7293	-0.6026	0.1691	0.1593	-0.4829	-0.2529	-0.0784	0.0389	-0.2934	0.0371	0.1133	-0.4149	-0.5288	0.912	-0.2604	-0.4151	0.4552	-0.3274	0.0805	-0.4449	0.6365	-0.0652	0.0959	-0.4949	-0.4548	-0.3471	-0.2588	-0.3828	-0.4748	-0.1558	-0.6566	-0.387	-0.4615	-0.4567
12_TxEnhW	-0.9348	-0.9682	-1.3548	-1.0718	-1.4482	-1.0797	-1.0493	-1.1264	-1.0974	-0.943	-1.1346	-0.7603	-0.8203	-1.0788	-1.2253	-1.0696	-0.9917	-0.9703	-1.2676	-1.2417	-1.0096	-1.0558	-1.0823	-0.9606	-0.9812	-1.2396	-0.6545	-1.14	-0.9379	-1.0426	-1.0703	-0.7331	-0.9462	-0.9801	-0.8777	-1.2447	-1.2383	-1.3558	-1.2199	-1.2548	-1.0921	-0.959	-0.9356	-0.969	-1.1181	-1.1052	-1.0783	-1.0861	-0.9855	-1.0225	-0.7757	-1.2923	-0.9326	-0.9952	-1.2346	-0.8228	-1.0391	-0.938	-1.0561	-0.7752	-1.2291	-1.0243	-1.1371	-0.9946	-0.9635	-1.0367	-1.1373	-1.1793	-0.9611	-1.1106	-1.0995	-1.0939	-0.9228	-1.0805	-0.8942	-1.059	-1.1428	-0.7109	-0.9748	-0.8968	-0.6945	-0.8838	-1.1582	-0.7925	-1.1804	-0.9213	-0.9017	-0.9238	-1.2719	-0.9989	-1.004	-1.4494	-1.071	-1.1356	-1.0635	-1.0663	-1.255	-0.9328	-0.9052	-0.912	-1.0736	-1.0775	-0.9102	-1.1492	-1.0422	-0.725	-1.1558	-0.947	-1.0378	-1.2305	-0.8193	-0.7803	-0.7187	-0.7554	-1.0062	-1.0666	-0.8259	-1.061	-1.1038	-0.4875	-1.0052	-0.9693	-0.6779	-0.8363	-0.8671	-0.7082	-0.8099
13_EnhA1	-0.4345	-0.0067	-0.6083	-0.1369	-0.1629	-0.1741	0.0565	-0.2664	-0.1098	-0.3921	-0.6194	-0.1345	-0.3968	-0.5829	-0.4835	-0.7429	0.0095	-0.6515	-0.6198	-0.6849	0.0395	-0.1834	-0.5985	-0.2675	-0.355	-0.7504	0.2013	-0.3124	0.5871	0.3899	0.9588	1.2542	1.5324	0.2747	-0.149	1.8284	1.9084	0.8327	1.0762	2.3711	1.5647	0.7116	0.3449	1.9459	-0.1774	1.2059	1.1472	0.5707	-0.6814	-0.0764	1.2042	-0.5098	-0.4402	-0.4271	-0.368	-0.4706	0.2436	-0.2455	0.1444	-0.1879	0.1557	0.5227	-0.2517	0.3827	-0.4039	-0.4908	-0.5007	-0.1395	-0.2159	-0.4142	-0.1025	-0.2565	0.3847	0.2125	0.383	-0.2159	0.0389	0.1958	-0.3499	-0.5106	-0.4707	-0.0179	0.0425	-0.0173	-0.1922	-0.2062	-0.3325	-0.749	1.1037	-0.2258	1.6906	0.0307	0.3669	1.2985	-0.2458	0.6186	-0.0899	-0.1381	-0.1435	0.2479	0.4645	-0.2602	-0.1553	0.9838	-0.3007	-0.2638	0.1385	0.5983	0.0835	0.971	0.2514	-0.3718	1.0352	2.6529	0.6017	0.6596	-0.4393	-0.7215	-0.7163	-0.3709	0.3668	1.579	-0.4694	-0.34	-0.5392	-0.2229	-0.3858
14_EnhA2	-1.2429	-0.3551	-0.4001	-0.7491	-0.2651	-0.4226	-0.9121	-0.8231	-0.6555	-0.3346	-0.8176	-0.3956	-0.6651	-1.3897	-0.7637	-1.1309	-0.8669	-1.135	-1.442	-1.4387	-0.6716	-0.6295	-1.1773	-0.7177	-1.1759	-0.8667	-1.3967	-0.9642	-0.3501	0.426	0.368	0.0449	-0.1122	-0.2964	0.0066	-0.1369	-0.2379	-0.0971	-0.2535	0.1362	-0.8056	-0.2006	-0.2087	-0.0905	0.8901	-0.3356	-0.305	-0.2706	-1.2219	0.4497	-1.0442	-0.9785	-1.1756	-0.5461	-0.5919	-0.2938	-0.8416	-0.8465	-1.1119	-0.7956	0.8023	-0.9146	-0.6158	-1.0123	-0.9603	-0.9281	-0.9412	-0.6087	-1.284	-1.0237	-0.796	-0.9258	-0.1867	-0.8215	-0.3035	-0.8996	-0.4367	-0.5824	-1.0279	-0.7195	-0.8197	-0.7767	-0.8523	-0.6938	-0.6477	-0.8952	-1.0099	-0.8093	-0.4385	-0.6848	0.0023	-0.3327	-0.3952	-0.6311	-0.9202	-0.6719	-0.4129	-0.4748	-0.5662	-0.8438	-0.8212	-1.0376	-0.4812	-0.6434	-0.917	-0.7146	-0.775	-0.944	-1.2401	-0.1869	0.1668	-1.2158	-0.9628	-0.5777	-1.3052	-0.8118	-1.0702	-0.8179	-1.0216	-1.0342	-0.8161	-1.3578	-0.7733	-1.1162	-1.1843	-0.9373	-0.9321
15_EnhAF	-1.0486	-1.0331	-1.2697	-0.9294	-0.8385	-0.8638	-0.489	-1.2866	-0.922	-0.907	-1.4076	-1.3698	-1.1476	-1.2333	-1.4096	-1.3958	-1.0086	-1.4193	-1.464	-1.1094	-1.308	-0.8703	-1.2924	-1.2144	-1.3499	-1.7258	-0.7778	-1.3828	-1.0411	-0.3556	-0.4277	-0.1012	0.9112	-0.3563	0.3049	-0.3625	-0.271	0.0223	-0.3792	-0.2443	-0.6856	-0.1321	-0.3086	-0.015	0.167	-0.5118	-0.1917	-0.0166	-1.1782	-0.1352	-0.324	-1.6082	-0.7481	-0.7208	-0.7775	-0.9003	-1.1514	-1.3229	-0.6369	-0.4653	1.4349	-0.9985	-0.6531	-0.529	-1.615	-0.9712	-1.0131	-0.7808	-1.2109	-1.1419	-1.3554	-1.1698	-0.9398	-0.9828	-0.872	-0.5114	-0.2878	-0.7808	-1.1286	-0.6498	-0.7181	-1.0019	-1.1293	-0.3327	-0.6508	-0.6722	-0.6549	-0.6803	-0.3034	-0.8878	-0.3517	-0.1808	-0.9767	-0.6135	-0.4803	-0.1557	-0.8384	-0.6125	-0.572	-0.5017	-1.0717	-0.461	-0.5384	-0.3017	-1.1438	-0.906	-0.4293	-0.6337	-0.7642	-0.1413	-0.5055	-1.0933	-0.2365	0.1221	-1.5377	-0.7989	-1.2011	-1.0993	-1.2406	-1.3249	0.4535	-0.7107	-1.3064	-1.1768	-1.5281	-1.073	-1.4353
16_EnhW1	-0.6789	-0.7469	-0.7448	-0.6991	-0.6115	-1.1486	-0.922	-0.8388	-0.5557	-0.7606	-0.7239	-0.9498	-0.6246	-1.0403	-0.7421	-0.8461	-0.6503	-0.6425	-0.8298	-0.9941	-0.8129	-0.6106	-0.9831	-0.7627	-1.0446	-0.8956	-0.717	-0.7415	-0.7989	-0.9169	-0.7321	-0.2481	-1.0201	-0.5298	-0.5869	-1.3116	-0.9038	-0.8201	-0.7724	-0.9869	-1.1571	-1.2149	-0.9216	-0.7384	-0.8694	-0.6089	-0.9217	-0.8755	-1.0051	-0.8823	-1.0072	-0.8725	-0.8589	-1.0464	-0.8623	-0.813	-1.1487	-0.9316	-0.4518	-0.6622	-0.5448	-0.6558	-0.6462	-0.6373	-0.8307	-0.943	-0.7532	-1.2463	-0.7003	-1.0206	-0.5798	-0.9327	-0.723	-0.5642	-0.9037	-0.3911	-0.65	-0.9555	-0.5641	-0.8513	-0.9686	-0.7228	-0.467	-0.8646	-0.8463	-0.631	-0.7803	-0.7407	-0.2156	-0.789	-0.5766	-0.7077	-0.5934	-0.7346	-0.5285	-0.6962	-1.1388	-0.5518	-0.5493	-0.6234	-0.7633	-0.6422	-0.6168	-0.53	-0.9393	-0.4986	-0.4916	-0.8339	-0.9811	-0.7414	-0.7516	-0.7653	-0.5494	-1.0266	-0.7326	-0.8445	-1.0064	-0.5321	-0.8097	-0.6848	-0.7846	-1.4669	-0.9228	-0.5253	-1.1574	-0.7384	-0.8441
17_EnhW2	-1.9201	-1.9462	-2.058	-1.6274	-0.7897	-1.472	-1.3959	-1.6289	-1.3332	-1.3161	-1.5787	-1.5615	-1.3539	-2.2107	-2.2532	-1.8766	-1.1216	-1.9619	-1.9767	-2.3209	-1.6402	-1.4934	-1.1654	-1.7714	-1.0517	-1.6909	-0.6308	-1.3485	-0.6431	-0.7968	-0.6989	-0.5131	-0.5392	-0.7842	-1.088	-1.5291	-0.9658	-1.2015	-0.7506	-1.3307	-1.3157	-1.0953	-1.0843	-0.6184	-1.1225	-0.6514	-0.7335	-0.9813	-1.2668	-1.1015	-1.5816	-1.1109	-0.5436	-0.8614	-1.1418	-1.4266	-1.5264	-1.3346	-1.2375	-0.3304	-0.3887	-0.7388	-1.3518	-0.3975	-1.4204	-1.3032	-1.4529	-1.1443	-0.7224	-1.305	-1.4091	-1.3628	-1.0652	-0.9521	-1.3808	-0.8778	-1.5732	-0.6937	-0.6655	-1.0002	-0.9712	-1.4313	-1.2767	-0.8302	-0.5658	-1.0898	-1.536	-1.0672	-0.7215	-1.2585	-0.9404	-1.243	-0.7798	-0.9032	-1.0523	-1.1008	-1.0535	-0.3993	-0.993	-1.4685	-1.0557	-1.1691	-0.5556	-0.6624	-0.8382	-0.8392	-0.973	-0.9953	-1.0254	-0.8269	-0.5316	-1.0905	-0.3447	-0.6946	-0.8815	-0.5859	-1.5837	-1.0657	-1.1904	-0.7886	-0.8829	-0.4935	-1.2996	-1.4195	-1.5118	-1.1114	-1.1892
18_EnhAc	-0.5333	-0.7035	-0.6352	-0.5934	-0.117	-0.7118	-0.7429	-0.8379	-0.6992	-0.8022	-0.7196	-0.8091	-0.8157	-0.5179	-0.6808	-0.4619	-0.9892	-0.5074	-1.1188	-0.5192	-0.7398	-0.71	-0.8849	-0.8271	-1.2653	-0.5285	-1.3863	-0.7244	-0.4962	-0.4023	-0.1532	-0.5346	-0.4605	0.4578	0.0639	-0.821	0.1945	0.2663	-0.3547	-0.0516	1.426	0.0843	0.1034	-0.4534	0.1662	-0.7721	0.4354	0.1304	-0.567	-0.7755	0.2085	-0.9524	-0.9385	-0.7906	-0.9823	-0.6601	-0.952	-1.0236	-0.489	-0.9883	-0.1976	-0.0179	-0.5673	-1.2009	-0.7766	-0.7644	-0.634	-0.9077	-0.9945	-0.8137	-0.5978	-0.5518	-0.6307	-0.9668	-0.6437	-0.7769	-0.4067	-0.7748	-1.192	-0.9782	-1.144	-0.6742	-1.0395	-0.7459	-0.9631	-1.2499	-0.5503	-0.8426	-1.1959	-0.7348	-0.4962	-0.6354	-0.7061	-0.8474	-0.9136	-0.835	0.8274	-0.8912	-0.8763	-0.8572	-1.0602	-1.2133	-1.1424	-1.1728	-1.186	-0.8019	-0.4054	-0.4305	-0.6588	-0.4672	-0.8307	-0.684	-0.6084	-0.3959	-1.3667	-0.9654	-0.6142	-0.4255	-0.9468	-1.0952	-0.9907	0.0779	-1.2152	-0.7444	-0.9306	-0.7442	-1.0874
19_DNase	-1.5318	-1.206	-1.5697	-1.4846	-1.9372	-1.076	-1.5925	-1.4002	-1.4619	-2.1724	-1.4588	-1.2564	-1.8418	-1.5078	-1.4332	-1.8378	-1.7741	-1.4212	-1.0305	-1.2872	-1.393	-1.5345	-1.4477	-1.6447	-1.5361	-1.0595	-1.8551	-1.899	-1.217	-1.408	-1.0939	-1.1705	-1.2571	-1.344	-1.3831	-1.5205	-1.1689	-1.3338	-1.0958	-1.2774	-1.1185	-1.201	-0.8004	-1.3167	-1.0491	-1.3466	-1.2739	-1.0211	-1.1866	-1.5292	-1.1084	-1.2453	-1.667	-1.7938	-1.5183	-1.4944	-1.9132	-1.9828	-1.4052	-2.1854	-1.8196	-1.4768	-1.5468	-1.0888	-1.7083	-1.2701	-1.2139	-1.686	-1.2562	-1.2531	-1.4745	-1.0516	-1.3819	-1.6454	-1.2232	-1.4514	-1.8536	-1.299	-1.7261	-2.2644	-1.6269	-1.1099	-1.2206	-1.6091	-1.5333	-1.3431	-1.3973	-1.5669	-1.8651	-1.5384	-1.5136	-1.9094	-1.2664	-1.4466	-1.7259	-1.8148	-2.0626	-1.7826	-1.4277	-1.2882	-1.1646	-1.5021	-1.7673	-1.559	-1.5795	-1.6129	-1.5034	-1.2482	-1.3484	-1.5138	-1.13	-1.1557	-1.6552	-1.4464	-1.5519	-2.0638	-1.1654	-1.6953	-1.495	-1.7206	-1.5485	-1.4947	-1.3504	-1.0753	-1.6011	-1.8033	-1.2922
