random	SNP_n	Enh_n
encode_rsid1.tsv	263	263
encode_rsid2.tsv	225	225
encode_rsid3.tsv	246	246
encode_rsid4.tsv	232	231
encode_rsid5.tsv	250	250
encode_rsid6.tsv	250	250
encode_rsid7.tsv	271	271
encode_rsid8.tsv	255	255
encode_rsid9.tsv	251	251
encode_rsid10.tsv	252	252
encode_rsid11.tsv	238	238
encode_rsid12.tsv	276	276
encode_rsid13.tsv	265	265
encode_rsid14.tsv	248	248
encode_rsid15.tsv	262	262
encode_rsid16.tsv	255	255
encode_rsid17.tsv	249	249
encode_rsid18.tsv	233	232
encode_rsid19.tsv	245	245
encode_rsid20.tsv	249	249
encode_rsid21.tsv	269	269
encode_rsid22.tsv	258	258
encode_rsid23.tsv	254	254
encode_rsid24.tsv	252	252
encode_rsid25.tsv	248	248
encode_rsid26.tsv	246	245
encode_rsid27.tsv	257	257
encode_rsid28.tsv	267	267
encode_rsid29.tsv	258	258
encode_rsid30.tsv	252	252
encode_rsid31.tsv	253	253
encode_rsid32.tsv	224	224
encode_rsid33.tsv	247	247
encode_rsid34.tsv	241	241
encode_rsid35.tsv	218	218
encode_rsid36.tsv	233	233
encode_rsid37.tsv	225	224
encode_rsid38.tsv	267	266
encode_rsid39.tsv	281	281
encode_rsid40.tsv	257	257
encode_rsid41.tsv	247	247
encode_rsid42.tsv	260	260
encode_rsid43.tsv	251	251
encode_rsid44.tsv	273	273
encode_rsid45.tsv	277	277
encode_rsid46.tsv	237	236
encode_rsid47.tsv	257	257
encode_rsid48.tsv	239	239
encode_rsid49.tsv	267	267
encode_rsid50.tsv	240	240
encode_rsid51.tsv	248	248
encode_rsid52.tsv	266	265
encode_rsid53.tsv	221	221
encode_rsid54.tsv	238	238
encode_rsid55.tsv	242	242
encode_rsid56.tsv	258	258
encode_rsid57.tsv	265	265
encode_rsid58.tsv	274	274
encode_rsid59.tsv	249	248
encode_rsid60.tsv	238	238
encode_rsid61.tsv	243	243
encode_rsid62.tsv	245	245
encode_rsid63.tsv	238	238
encode_rsid64.tsv	238	238
encode_rsid65.tsv	236	236
encode_rsid66.tsv	236	236
encode_rsid67.tsv	227	227
encode_rsid68.tsv	240	238
encode_rsid69.tsv	238	238
encode_rsid70.tsv	249	249
encode_rsid71.tsv	234	234
encode_rsid72.tsv	261	261
encode_rsid73.tsv	239	238
encode_rsid74.tsv	252	252
encode_rsid75.tsv	261	261
encode_rsid76.tsv	241	241
encode_rsid77.tsv	233	233
