random	SNP_n	lncRNA_n
lncrna_rsid1.bed	22	33
lncrna_rsid2.bed	17	20
lncrna_rsid3.bed	10	13
lncrna_rsid4.bed	25	45
lncrna_rsid5.bed	6	9
lncrna_rsid6.bed	13	17
lncrna_rsid7.bed	23	32
lncrna_rsid8.bed	21	25
lncrna_rsid9.bed	18	24
lncrna_rsid10.bed	18	23
lncrna_rsid11.bed	26	36
lncrna_rsid12.bed	19	21
lncrna_rsid13.bed	18	26
lncrna_rsid14.bed	17	26
lncrna_rsid15.bed	23	29
lncrna_rsid16.bed	23	46
lncrna_rsid17.bed	22	29
lncrna_rsid18.bed	17	29
lncrna_rsid19.bed	22	38
lncrna_rsid20.bed	18	23
lncrna_rsid21.bed	17	19
lncrna_rsid22.bed	18	25
lncrna_rsid23.bed	24	35
lncrna_rsid24.bed	16	22
lncrna_rsid25.bed	22	26
lncrna_rsid26.bed	15	21
lncrna_rsid27.bed	17	22
lncrna_rsid28.bed	20	33
lncrna_rsid29.bed	23	28
lncrna_rsid30.bed	15	19
lncrna_rsid31.bed	12	19
lncrna_rsid32.bed	22	31
lncrna_rsid33.bed	22	26
lncrna_rsid34.bed	18	24
lncrna_rsid35.bed	21	26
lncrna_rsid36.bed	23	29
lncrna_rsid37.bed	21	26
lncrna_rsid38.bed	29	42
lncrna_rsid39.bed	19	32
lncrna_rsid40.bed	22	27
lncrna_rsid41.bed	27	33
lncrna_rsid42.bed	18	22
lncrna_rsid43.bed	21	30
lncrna_rsid44.bed	22	31
lncrna_rsid45.bed	20	31
lncrna_rsid46.bed	25	41
lncrna_rsid47.bed	18	27
lncrna_rsid48.bed	32	53
lncrna_rsid49.bed	29	44
lncrna_rsid50.bed	21	30
lncrna_rsid51.bed	19	33
lncrna_rsid52.bed	23	39
lncrna_rsid53.bed	20	23
lncrna_rsid54.bed	20	31
lncrna_rsid55.bed	20	27
lncrna_rsid56.bed	17	22
lncrna_rsid57.bed	26	32
lncrna_rsid58.bed	15	18
lncrna_rsid59.bed	20	22
lncrna_rsid60.bed	24	42
lncrna_rsid61.bed	15	21
lncrna_rsid62.bed	25	40
lncrna_rsid63.bed	25	41
lncrna_rsid64.bed	17	22
lncrna_rsid65.bed	14	17
lncrna_rsid66.bed	13	19
lncrna_rsid67.bed	17	23
lncrna_rsid68.bed	20	32
lncrna_rsid69.bed	25	33
lncrna_rsid70.bed	27	36
lncrna_rsid71.bed	18	39
lncrna_rsid72.bed	21	27
lncrna_rsid73.bed	20	30
lncrna_rsid74.bed	15	21
lncrna_rsid75.bed	30	36
lncrna_rsid76.bed	14	22
lncrna_rsid77.bed	14	19
lncrna_rsid78.bed	20	22
lncrna_rsid79.bed	28	41
lncrna_rsid80.bed	24	32
lncrna_rsid81.bed	19	24
lncrna_rsid82.bed	25	32
lncrna_rsid83.bed	17	19
lncrna_rsid84.bed	15	18
lncrna_rsid85.bed	18	26
lncrna_rsid86.bed	22	30
lncrna_rsid87.bed	26	29
lncrna_rsid88.bed	27	37
lncrna_rsid89.bed	22	25
lncrna_rsid90.bed	19	32
lncrna_rsid91.bed	16	26
lncrna_rsid92.bed	25	32
lncrna_rsid93.bed	19	27
lncrna_rsid94.bed	15	26
lncrna_rsid95.bed	19	22
lncrna_rsid96.bed	22	31
lncrna_rsid97.bed	30	37
lncrna_rsid98.bed	20	31
lncrna_rsid99.bed	25	32
lncrna_rsid100.bed	23	29
lncrna_rsid101.bed	17	20
lncrna_rsid102.bed	13	16
lncrna_rsid103.bed	22	33
lncrna_rsid104.bed	27	46
lncrna_rsid105.bed	16	24
lncrna_rsid106.bed	25	41
lncrna_rsid107.bed	24	30
lncrna_rsid108.bed	23	29
lncrna_rsid109.bed	15	31
lncrna_rsid110.bed	21	42
lncrna_rsid111.bed	25	38
lncrna_rsid112.bed	19	28
lncrna_rsid113.bed	24	30
lncrna_rsid114.bed	18	23
lncrna_rsid115.bed	13	15
lncrna_rsid116.bed	22	29
lncrna_rsid117.bed	21	23
lncrna_rsid118.bed	26	32
lncrna_rsid119.bed	19	32
lncrna_rsid120.bed	19	29
lncrna_rsid121.bed	23	30
lncrna_rsid122.bed	19	29
lncrna_rsid123.bed	20	23
lncrna_rsid124.bed	23	26
lncrna_rsid125.bed	15	20
lncrna_rsid126.bed	21	37
lncrna_rsid127.bed	21	24
lncrna_rsid128.bed	20	29
lncrna_rsid129.bed	22	29
lncrna_rsid130.bed	13	15
lncrna_rsid131.bed	17	26
lncrna_rsid132.bed	12	15
lncrna_rsid133.bed	19	25
lncrna_rsid134.bed	25	35
lncrna_rsid135.bed	31	51
lncrna_rsid136.bed	11	16
lncrna_rsid137.bed	19	23
lncrna_rsid138.bed	20	24
lncrna_rsid139.bed	15	19
lncrna_rsid140.bed	24	32
lncrna_rsid141.bed	15	15
lncrna_rsid142.bed	13	17
lncrna_rsid143.bed	8	14
lncrna_rsid144.bed	14	20
lncrna_rsid145.bed	16	23
lncrna_rsid146.bed	15	24
lncrna_rsid147.bed	20	28
lncrna_rsid148.bed	16	25
lncrna_rsid149.bed	18	26
lncrna_rsid150.bed	23	31
lncrna_rsid151.bed	20	29
lncrna_rsid152.bed	27	41
lncrna_rsid153.bed	17	24
lncrna_rsid154.bed	20	25
lncrna_rsid155.bed	20	24
lncrna_rsid156.bed	24	33
lncrna_rsid157.bed	19	31
lncrna_rsid158.bed	22	28
lncrna_rsid159.bed	22	29
lncrna_rsid160.bed	25	38
lncrna_rsid161.bed	24	38
lncrna_rsid162.bed	15	22
lncrna_rsid163.bed	20	23
lncrna_rsid164.bed	16	23
lncrna_rsid165.bed	24	27
lncrna_rsid166.bed	23	27
lncrna_rsid167.bed	21	28
lncrna_rsid168.bed	23	31
lncrna_rsid169.bed	27	39
lncrna_rsid170.bed	17	19
lncrna_rsid171.bed	22	32
lncrna_rsid172.bed	17	19
lncrna_rsid173.bed	18	24
lncrna_rsid174.bed	20	32
lncrna_rsid175.bed	26	34
lncrna_rsid176.bed	18	23
lncrna_rsid177.bed	22	27
lncrna_rsid178.bed	11	16
lncrna_rsid179.bed	23	34
lncrna_rsid180.bed	24	31
lncrna_rsid181.bed	21	24
lncrna_rsid182.bed	29	38
lncrna_rsid183.bed	26	33
lncrna_rsid184.bed	19	28
lncrna_rsid185.bed	20	44
lncrna_rsid186.bed	20	23
lncrna_rsid187.bed	17	26
lncrna_rsid188.bed	18	23
lncrna_rsid189.bed	22	29
lncrna_rsid190.bed	16	28
lncrna_rsid191.bed	16	18
lncrna_rsid192.bed	27	40
lncrna_rsid193.bed	23	37
lncrna_rsid194.bed	24	32
lncrna_rsid195.bed	19	31
lncrna_rsid196.bed	27	44
lncrna_rsid197.bed	26	102
lncrna_rsid198.bed	25	34
lncrna_rsid199.bed	19	29
lncrna_rsid200.bed	22	38
lncrna_rsid201.bed	27	42
lncrna_rsid202.bed	16	20
lncrna_rsid203.bed	26	28
lncrna_rsid204.bed	17	21
lncrna_rsid205.bed	26	38
lncrna_rsid206.bed	19	22
lncrna_rsid207.bed	25	32
lncrna_rsid208.bed	24	34
lncrna_rsid209.bed	23	31
lncrna_rsid210.bed	22	33
lncrna_rsid211.bed	19	24
lncrna_rsid212.bed	14	18
lncrna_rsid213.bed	17	24
lncrna_rsid214.bed	23	34
lncrna_rsid215.bed	15	18
lncrna_rsid216.bed	19	23
lncrna_rsid217.bed	19	22
lncrna_rsid218.bed	18	22
