random	SNP_n	Enh_n
roadmap_rsid1.tsv	446	445
roadmap_rsid2.tsv	436	435
roadmap_rsid3.tsv	436	436
roadmap_rsid4.tsv	408	407
roadmap_rsid5.tsv	437	435
roadmap_rsid6.tsv	412	412
roadmap_rsid7.tsv	456	456
roadmap_rsid8.tsv	415	415
roadmap_rsid9.tsv	416	416
roadmap_rsid10.tsv	456	456
roadmap_rsid11.tsv	430	430
roadmap_rsid12.tsv	472	472
roadmap_rsid13.tsv	391	390
roadmap_rsid14.tsv	433	433
roadmap_rsid15.tsv	429	429
roadmap_rsid16.tsv	404	404
roadmap_rsid17.tsv	436	435
roadmap_rsid18.tsv	427	426
roadmap_rsid19.tsv	441	441
roadmap_rsid20.tsv	447	446
roadmap_rsid21.tsv	431	431
roadmap_rsid22.tsv	420	418
roadmap_rsid23.tsv	406	405
roadmap_rsid24.tsv	413	413
roadmap_rsid25.tsv	441	441
roadmap_rsid26.tsv	424	423
roadmap_rsid27.tsv	443	442
roadmap_rsid28.tsv	419	419
roadmap_rsid29.tsv	413	410
roadmap_rsid30.tsv	411	410
roadmap_rsid31.tsv	452	452
roadmap_rsid32.tsv	439	439
roadmap_rsid33.tsv	440	439
roadmap_rsid34.tsv	465	466
roadmap_rsid35.tsv	442	439
roadmap_rsid36.tsv	440	439
roadmap_rsid37.tsv	456	456
roadmap_rsid38.tsv	400	400
roadmap_rsid39.tsv	457	456
roadmap_rsid40.tsv	460	460
roadmap_rsid41.tsv	450	448
roadmap_rsid42.tsv	443	443
roadmap_rsid43.tsv	423	423
roadmap_rsid44.tsv	415	414
roadmap_rsid45.tsv	440	438
roadmap_rsid46.tsv	425	423
roadmap_rsid47.tsv	442	441
roadmap_rsid48.tsv	429	429
roadmap_rsid49.tsv	445	445
roadmap_rsid50.tsv	464	464
roadmap_rsid51.tsv	446	445
roadmap_rsid52.tsv	457	457
roadmap_rsid53.tsv	466	466
roadmap_rsid54.tsv	402	402
roadmap_rsid55.tsv	463	463
roadmap_rsid56.tsv	460	458
roadmap_rsid57.tsv	415	415
roadmap_rsid58.tsv	466	464
roadmap_rsid59.tsv	428	427
roadmap_rsid60.tsv	425	425
roadmap_rsid61.tsv	441	441
roadmap_rsid62.tsv	439	439
roadmap_rsid63.tsv	451	451
roadmap_rsid64.tsv	473	473
roadmap_rsid65.tsv	442	442
roadmap_rsid66.tsv	447	445
roadmap_rsid67.tsv	415	415
roadmap_rsid68.tsv	429	426
roadmap_rsid69.tsv	429	428
roadmap_rsid70.tsv	441	439
roadmap_rsid71.tsv	438	437
roadmap_rsid72.tsv	431	431
roadmap_rsid73.tsv	434	434
roadmap_rsid74.tsv	438	438
roadmap_rsid75.tsv	423	423
roadmap_rsid76.tsv	440	440
roadmap_rsid77.tsv	416	416
roadmap_rsid78.tsv	424	424
roadmap_rsid79.tsv	438	438
roadmap_rsid80.tsv	427	426
roadmap_rsid81.tsv	399	399
roadmap_rsid82.tsv	401	400
roadmap_rsid83.tsv	412	410
roadmap_rsid84.tsv	457	456
roadmap_rsid85.tsv	414	415
roadmap_rsid86.tsv	422	422
roadmap_rsid87.tsv	427	427
roadmap_rsid88.tsv	437	437
roadmap_rsid89.tsv	442	441
roadmap_rsid90.tsv	448	447
roadmap_rsid91.tsv	427	426
roadmap_rsid92.tsv	441	441
roadmap_rsid93.tsv	434	434
roadmap_rsid94.tsv	436	436
roadmap_rsid95.tsv	433	433
roadmap_rsid96.tsv	432	432
roadmap_rsid97.tsv	440	440
roadmap_rsid98.tsv	430	430
roadmap_rsid99.tsv	428	428
roadmap_rsid100.tsv	439	439
roadmap_rsid101.tsv	444	444
roadmap_rsid102.tsv	455	455
roadmap_rsid103.tsv	437	436
