random	SNP_n	Gene_n
gtex_rsid1.bed	4	12
gtex_rsid2.bed	11	28
gtex_rsid3.bed	2	4
gtex_rsid4.bed	3	7
gtex_rsid5.bed	6	8
gtex_rsid6.bed	3	10
gtex_rsid7.bed	3	3
gtex_rsid8.bed	5	10
gtex_rsid9.bed	4	20
gtex_rsid10.bed	5	10
gtex_rsid11.bed	8	10
gtex_rsid12.bed	3	3
gtex_rsid13.bed	6	14
gtex_rsid14.bed	6	9
gtex_rsid15.bed	4	13
gtex_rsid16.bed	5	9
gtex_rsid17.bed	8	15
gtex_rsid18.bed	6	13
gtex_rsid19.bed	2	4
gtex_rsid20.bed	4	5
gtex_rsid21.bed	3	16
gtex_rsid22.bed	4	5
gtex_rsid23.bed	5	5
gtex_rsid24.bed	6	10
gtex_rsid25.bed	9	16
gtex_rsid26.bed	7	10
gtex_rsid27.bed	4	6
gtex_rsid28.bed	2	3
gtex_rsid29.bed	4	11
gtex_rsid30.bed	2	5
gtex_rsid31.bed	5	5
gtex_rsid32.bed	8	13
gtex_rsid33.bed	3	6
gtex_rsid34.bed	3	5
gtex_rsid35.bed	8	18
gtex_rsid36.bed	2	3
gtex_rsid37.bed	7	7
gtex_rsid38.bed	6	16
gtex_rsid39.bed	2	3
gtex_rsid40.bed	2	5
gtex_rsid41.bed	4	10
gtex_rsid42.bed	3	7
gtex_rsid43.bed	7	13
gtex_rsid44.bed	12	19
gtex_rsid45.bed	1	1
gtex_rsid46.bed	10	22
gtex_rsid47.bed	5	12
gtex_rsid48.bed	3	7
gtex_rsid49.bed	4	10
gtex_rsid50.bed	4	4
gtex_rsid51.bed	7	11
gtex_rsid52.bed	1	1
gtex_rsid53.bed	6	14
gtex_rsid54.bed	4	10
gtex_rsid55.bed	0	0
gtex_rsid56.bed	3	3
gtex_rsid57.bed	6	6
gtex_rsid58.bed	4	7
gtex_rsid59.bed	8	14
gtex_rsid60.bed	4	9
gtex_rsid61.bed	6	10
gtex_rsid62.bed	3	4
gtex_rsid63.bed	4	5
gtex_rsid64.bed	3	3
gtex_rsid65.bed	5	13
gtex_rsid66.bed	8	14
gtex_rsid67.bed	4	8
gtex_rsid68.bed	2	2
gtex_rsid69.bed	4	5
gtex_rsid70.bed	4	11
gtex_rsid71.bed	6	14
gtex_rsid72.bed	5	8
gtex_rsid73.bed	4	28
gtex_rsid74.bed	4	5
gtex_rsid75.bed	3	4
gtex_rsid76.bed	6	18
gtex_rsid77.bed	8	21
gtex_rsid78.bed	3	5
gtex_rsid79.bed	5	6
gtex_rsid80.bed	2	15
gtex_rsid81.bed	5	10
gtex_rsid82.bed	8	10
gtex_rsid83.bed	1	2
gtex_rsid84.bed	6	8
gtex_rsid85.bed	3	8
gtex_rsid86.bed	3	31
gtex_rsid87.bed	2	4
gtex_rsid88.bed	2	3
gtex_rsid89.bed	4	23
gtex_rsid90.bed	5	6
gtex_rsid91.bed	5	12
gtex_rsid92.bed	4	5
gtex_rsid93.bed	8	12
gtex_rsid94.bed	5	12
gtex_rsid95.bed	2	2
gtex_rsid96.bed	9	23
gtex_rsid97.bed	6	11
gtex_rsid98.bed	5	12
