chr	id	rsid	description	level
chr2	25305504	rs551573	Single_Nucleotides|eQTL|ADCY3, Chromatin_Structure|DNase-seq|Lncap	1f
chr2	25314186	rs2918630	Single_Nucleotides|eQTL|ADCY3, Chromatin_Structure|DNase-seq|Ips, Chromatin_Structure|DNase-seq|Helas3	1f
chr3	49453834	rs6997	Single_Nucleotides|eQTL|USP4, Chromatin_Structure|FAIRE|Gm19239, Chromatin_Structure|DNase-seq|Gm19239, Chromatin_Structure|DNase-seq|Gm19238, Chromatin_Structure|DNase-seq|Gm12892, Chromatin_Structure|FAIRE|Gm12891, Chromatin_Structure|FAIRE|Gm18507, Chromatin_Structure|DNase-seq|Gm19240, Chromatin_Structure|DNase-seq|Gm18507, Chromatin_Structure|DNase-seq|Gm12878, Chromatin_Structure|DNase-seq|Gm12891, Chromatin_Structure|FAIRE|Gm12892, Chromatin_Structure|DNase-seq|Cll, Chromatin_Structure|DNase-seq|Urotsa, Chromatin_Structure|DNase-seq|Th2, Chromatin_Structure|DNase-seq|Hl60, Chromatin_Structure|DNase-seq|Th1, Chromatin_Structure|DNase-seq|Cmk, Chromatin_Structure|DNase-seq|Hbmec, Chromatin_Structure|DNase-seq|Huvec, Chromatin_Structure|DNase-seq|Monocd14, Chromatin_Structure|DNase-seq|Hmveclly, Chromatin_Structure|DNase-seq|Hsmmt, Chromatin_Structure|DNase-seq|Skmc, Chromatin_Structure|DNase-seq|Hmvecdblneo, Chromatin_Structure|DNase-seq|Hffmyc, Chromatin_Structure|DNase-seq|Hipe, Chromatin_Structure|DNase-seq|Hsmm, Chromatin_Structure|DNase-seq|Jurkat, Chromatin_Structure|DNase-seq|Hmveclbl, Chromatin_Structure|DNase-seq|Hmvecdblad, Protein_Binding|ChIP-seq|ELF1, Protein_Binding|ChIP-seq|SPI1, Protein_Binding|ChIP-seq|SPI1, Protein_Binding|ChIP-seq|SPI1	1f
chr3	49454112	rs9814873	Single_Nucleotides|eQTL|USP4, Chromatin_Structure|FAIRE|Gm19239, Chromatin_Structure|DNase-seq|Gm19239, Chromatin_Structure|DNase-seq|Gm19238, Chromatin_Structure|DNase-seq|Gm12892, Chromatin_Structure|FAIRE|Gm12891, Chromatin_Structure|DNase-seq|Gm19240, Chromatin_Structure|DNase-seq|Gm18507, Chromatin_Structure|DNase-seq|Gm12878, Chromatin_Structure|DNase-seq|Gm12891, Chromatin_Structure|FAIRE|Gm12892, Chromatin_Structure|DNase-seq|Cll, Chromatin_Structure|DNase-seq|Hepatocytes, Chromatin_Structure|DNase-seq|8988t	1f
chr3	49455330	rs11715915	Single_Nucleotides|eQTL|USP4, Chromatin_Structure|DNase-seq|8988t, Chromatin_Structure|DNase-seq|Lncap, Chromatin_Structure|DNase-seq|H1hesc, Chromatin_Structure|DNase-seq|Huh75, Chromatin_Structure|DNase-seq|Gm18507, Chromatin_Structure|DNase-seq|Medullo	1f
chr3	49696797	rs11718165	Single_Nucleotides|eQTL|C3orf62, Single_Nucleotides|eQTL|DAG1, Single_Nucleotides|eQTL|HSS00328072, Single_Nucleotides|eQTL|MST1, Single_Nucleotides|eQTL|USP4, Motifs|PWM|Mtf1, Chromatin_Structure|DNase-seq|Osteobl, Chromatin_Structure|DNase-seq|Chorion	1f
chr3	49701983	rs9858542	Single_Nucleotides|eQTL|USP4, Motifs|Footprinting|, Motifs|Footprinting|, Motifs|Footprinting|, Motifs|Footprinting|, Motifs|Footprinting|, Chromatin_Structure|DNase-seq|Gm12891, Chromatin_Structure|DNase-seq|Gm12892, Chromatin_Structure|DNase-seq|Gm19238, Chromatin_Structure|DNase-seq|Ips, Chromatin_Structure|DNase-seq|H1hesc, Chromatin_Structure|DNase-seq|Osteobl	1f
chr5	131694077	rs4705938	Single_Nucleotides|eQTL|SLC22A5, Single_Nucleotides|eQTL|SLC22A4, Single_Nucleotides|eQTL|P4HA2, Single_Nucleotides|eQTL|P4HA2, Chromatin_Structure|FAIRE|Gm18507, Chromatin_Structure|DNase-seq|Gm12878, Chromatin_Structure|DNase-seq|Gm19239, Chromatin_Structure|DNase-seq|Gm18507, Chromatin_Structure|DNase-seq|Gm19238, Chromatin_Structure|DNase-seq|Gm19240, Chromatin_Structure|FAIRE|Gm19239, Chromatin_Structure|FAIRE|Gm12878, Chromatin_Structure|DNase-seq|Medullo	1f
chr5	131707429	rs2631360	Single_Nucleotides|eQTL|P4HA2, Single_Nucleotides|eQTL|SLC22A4, Single_Nucleotides|eQTL|SLC22A5, Chromatin_Structure|DNase-seq|Mcf7, Chromatin_Structure|DNase-seq|Hepatocytes	1f
chr5	131725329	rs11748193	Single_Nucleotides|eQTL|SLC22A4, Single_Nucleotides|eQTL|SLC22A5, Chromatin_Structure|FAIRE|Nhek, Chromatin_Structure|FAIRE|Helas3, Chromatin_Structure|FAIRE|Helas3, Chromatin_Structure|FAIRE|UrotsaUt189, Chromatin_Structure|DNase-seq|A549, Chromatin_Structure|DNase-seq|Hpde6e6e7, Chromatin_Structure|DNase-seq|Stellate, Chromatin_Structure|DNase-seq|Panisd, Chromatin_Structure|DNase-seq|Htr8, Chromatin_Structure|DNase-seq|UrotsaUt189, Chromatin_Structure|DNase-seq|Fibrop, Chromatin_Structure|DNase-seq|Urotsa, Chromatin_Structure|FAIRE|Mcf7, Chromatin_Structure|DNase-seq|Helas3, Chromatin_Structure|FAIRE|Astrocy, Chromatin_Structure|DNase-seq|Aosmc, Chromatin_Structure|DNase-seq|Phte, Chromatin_Structure|FAIRE|Htr8, Chromatin_Structure|DNase-seq|Gm12864, Chromatin_Structure|DNase-seq|Osteobl, Chromatin_Structure|DNase-seq|Nhek, Chromatin_Structure|DNase-seq|8988t, Chromatin_Structure|DNase-seq|Melano, Chromatin_Structure|DNase-seq|Fibrobl, Chromatin_Structure|DNase-seq|Myometr, Chromatin_Structure|DNase-seq|Mcf7, Chromatin_Structure|DNase-seq|Hsmm, Chromatin_Structure|DNase-seq|Gliobla, Chromatin_Structure|DNase-seq|Hmec, Chromatin_Structure|DNase-seq|Progfib, Chromatin_Structure|DNase-seq|Huvec, Chromatin_Structure|DNase-seq|Helas3Ifna4h, Chromatin_Structure|FAIRE|Huvec, Protein_Binding|ChIP-seq|SMARCC1, Protein_Binding|ChIP-seq|STAT1, Protein_Binding|ChIP-seq|SMARCB1, Protein_Binding|ChIP-seq|POLR2A	1f
