DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2012-03-09	22293688	Huang J	2012-02-01	Eur J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/22293688	1000 Genomes-based imputation identifies novel and refined associations for the Wellcome Trust Case Control Consortium phase 1 Data.	Type 1 diabetes	16,179 European ancestry individuals	NA	10p15.1	10	6052734	IL2RA	IL2RA			3559			rs61839660-?	rs61839660	0	61839660	intron_variant	0	NR	5E-9	8.301029995663981		1.6	[1.44-1.76]	NR [6233112] (imputed)	N	type I diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001359	GCST001394	Genome-wide genotyping array
2012-03-09	22293688	Huang J	2012-02-01	Eur J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/22293688	1000 Genomes-based imputation identifies novel and refined associations for the Wellcome Trust Case Control Consortium phase 1 Data.	Type 1 diabetes	16,179 European ancestry individuals	NA	12q24.11	12	111270654	CUX2	CUX2			23316			rs1265564-?	rs1265564	0	1265564	non_coding_transcript_exon_variant	0	NR	1E-16	16.0		1.45	[1.28-1.67]	NR [6233112] (imputed)	N	type I diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001359	GCST001394	Genome-wide genotyping array
2009-12-28	19966805	Wallace C	2009-12-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19966805	The imprinted DLK1-MEG3 gene region on chromosome 14q32.2 alters susceptibility to type 1 diabetes.	Type 1 diabetes	7,514 European ancestry cases, 9,045 European ancestry controls	4,840 European ancestry cases, 2,670 European ancestry controls, 5,766 European ancestry familial triads	19p13.2	19	10364976	TYK2	TYK2			7297			rs2304256-C	rs2304256	0	2304256	missense_variant	0	0.71	4E-9	8.397940008672037		1.16	[1.11-1.22]	Affymetrix, Illumina [~ 2600000] (imputed)	N	type I diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001359	GCST000539	Genome-wide genotyping array
2009-12-28	19966805	Wallace C	2009-12-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19966805	The imprinted DLK1-MEG3 gene region on chromosome 14q32.2 alters susceptibility to type 1 diabetes.	Type 1 diabetes	7,514 European ancestry cases, 9,045 European ancestry controls	4,840 European ancestry cases, 2,670 European ancestry controls, 5,766 European ancestry familial triads	14q32.2	14	100839708	DIO3, DLK1, MEG3, RTL1	MEG3			55384			rs941576-A	rs941576	0	941576	intron_variant	0	0.57	1E-10	10.0		1.11	[1.06-1.16]	Affymetrix, Illumina [~ 2600000] (imputed)	N	type I diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001359	GCST000539	Genome-wide genotyping array
2018-09-19	29695241	Charmet R	2018-04-25	Cardiovasc Diabetol	www.ncbi.nlm.nih.gov/pubmed/29695241	Novel risk genes identified in a genome-wide association study for coronary artery disease in patients with type 1 diabetes.	Coronary artery disease in type 1 diabetes	434 European ancestry cases with coronary artery disease, 3,123 European ancestry cases without coronary artery disease	585 cases with coronary artery disease, 2,612 cases without coronary artery disease	1q32.1	1	205515245	CDK18	CDK18			5129			rs138760780-T	rs138760780	0	138760780	intron_variant	0	0.018	2E-6	5.698970004336019		2.6	[1.75-3.85]	Illumina [6728637] (imputed)	N	type I diabetes mellitus, coronary artery disease	http://www.ebi.ac.uk/efo/EFO_0001359, http://www.ebi.ac.uk/efo/EFO_0000378	GCST006281	Genome-wide genotyping array
2018-09-19	29695241	Charmet R	2018-04-25	Cardiovasc Diabetol	www.ncbi.nlm.nih.gov/pubmed/29695241	Novel risk genes identified in a genome-wide association study for coronary artery disease in patients with type 1 diabetes.	Coronary artery disease in type 1 diabetes	434 European ancestry cases with coronary artery disease, 3,123 European ancestry cases without coronary artery disease	585 cases with coronary artery disease, 2,612 cases without coronary artery disease	9q21.12	9	69340801	FAM189A2	FAM189A2			9413			rs12344245-G	rs12344245	0	12344245	intron_variant	0	0.035	9E-6	5.045757490560675		1.85	[1.41-2.43]	Illumina [6728637] (imputed)	N	type I diabetes mellitus, coronary artery disease	http://www.ebi.ac.uk/efo/EFO_0001359, http://www.ebi.ac.uk/efo/EFO_0000378	GCST006281	Genome-wide genotyping array
2018-04-06	29404672	Roshandel D	2018-02-05	Diabetologia	www.ncbi.nlm.nih.gov/pubmed/29404672	Meta-genome-wide association studies identify a locus on chromosome 1 and multiple variants in the MHC region for serum C-peptide in type 1 diabetes.	Stimulated C-peptide levels in type I diabetes	1,303 European ancestry individuals	NA	1q43	1	238590616	ZP4, LINCO1139	KRT18P32 - MIPEPP2	391179	100130099		97915	186509	rs559047-A	rs559047	0	559047	intergenic_variant	1	0.24	4E-6	5.3979400086720375		0.28	[0.16-0.40] unit decrease	Illumina [8978838] (imputed)	N	C-peptide measurement, type I diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0005187, http://www.ebi.ac.uk/efo/EFO_0001359	GCST005435	Genome-wide genotyping array
2018-04-06	29404672	Roshandel D	2018-02-05	Diabetologia	www.ncbi.nlm.nih.gov/pubmed/29404672	Meta-genome-wide association studies identify a locus on chromosome 1 and multiple variants in the MHC region for serum C-peptide in type 1 diabetes.	C-peptide levels in type I diabetes	3,479 European ancestry individuals	NA	1q43	1	238590616	ZP4, LINCO1139	KRT18P32 - MIPEPP2	391179	100130099		97915	186509	rs559047-A	rs559047	0	559047	intergenic_variant	1	0.23	4E-8	7.3979400086720375				Illumina [7988630] (imputed)	N	C-peptide measurement, type I diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0005187, http://www.ebi.ac.uk/efo/EFO_0001359	GCST005436	Genome-wide genotyping array
2018-04-06	29404672	Roshandel D	2018-02-05	Diabetologia	www.ncbi.nlm.nih.gov/pubmed/29404672	Meta-genome-wide association studies identify a locus on chromosome 1 and multiple variants in the MHC region for serum C-peptide in type 1 diabetes.	Stimulated C-peptide levels in type I diabetes	1,303 European ancestry individuals	NA	6p22.1	6	30133199	MHC	TRIM31-AS1 - TRIM40	104533120	135644		18475	2799	rs61211515-?	rs61211515	0	61211515	intergenic_variant	1	0.16	1E-7	7.0		0.39	[0.25-0.53] unit decrease	Illumina [8978838] (imputed)	N	C-peptide measurement, type I diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0005187, http://www.ebi.ac.uk/efo/EFO_0001359	GCST005435	Genome-wide genotyping array
2018-04-06	29404672	Roshandel D	2018-02-05	Diabetologia	www.ncbi.nlm.nih.gov/pubmed/29404672	Meta-genome-wide association studies identify a locus on chromosome 1 and multiple variants in the MHC region for serum C-peptide in type 1 diabetes.	C-peptide levels in type I diabetes	3,479 European ancestry individuals	NA	6p22.1	6	29943253	MHC, HLA-A	HLA-A			3105			rs9260151-T	rs9260151	0	9260151	non_coding_transcript_exon_variant	0	0.09	8E-8	7.096910013008056				Illumina [7988630] (imputed)	N	C-peptide measurement, type I diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0005187, http://www.ebi.ac.uk/efo/EFO_0001359	GCST005436	Genome-wide genotyping array
